label,total_return,cagr,max_drawdown,volatility,sharpe,sortino,calmar,alpha,beta,benchmark_return,benchmark_cagr,stop_loss_pct,max_position_weight,momentum_lookback,sma_window,w_value,w_momentum,w_cycle,sharpe_rank,cagr_rank,max_drawdown_rank,sortino_rank,calmar_rank,alpha_rank
v0%_m0%_c100%,9.85478437040429,0.2671153659788763,0.3454255189064088,0.21354298476555442,1.0635580758048446,1.2519218923021447,0.773293666387311,0.11401955432351872,0.9398402801842262,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.0,0.0,1.0,12,17,23,13,19,11
v0%_m10%_c90%,9.229940137079977,0.2596790111363949,0.34542551893423556,0.2163767813018956,1.0152614796034511,1.198882369442248,0.7517655671115439,0.10748515704595783,0.9477927700256439,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.0,0.1,0.9,20,29,24,25,28,21
v0%_m20%_c80%,9.194555374505867,0.2592457587018706,0.34542551893423556,0.21717528141709677,1.0095336691692705,1.1947808289383997,0.7505113099395171,0.10659863763909336,0.9523818592532496,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.0,0.2,0.8,26,31,24,27,29,25
v0%_m30%_c70%,8.936285516019925,0.25604182525015196,0.34540864156110923,0.21700177259334788,0.9955763156598963,1.1839552860590938,0.7412722046933888,0.10395158766616723,0.952692129955208,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.0,0.3,0.7,31,40,20,31,34,32
v0%_m40%_c60%,8.510618993956912,0.25059379705397955,0.34542517501961134,0.21853880421714117,0.9636448675940067,1.1508925418531242,0.7254647755183223,0.09852763051729527,0.9616887123619314,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.0,0.4,0.6,43,47,22,41,37,42
v0%_m50%_c50%,9.13473204565356,0.25851018917649604,0.34540833429689766,0.22037531466218194,0.9915365952464096,1.191214527305383,0.7484190840464555,0.1045437068054793,0.9662790851429791,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.0,0.5,0.5,35,34,19,30,31,29
v0%_m60%_c40%,8.984533022107211,0.256646006863289,0.35585012618492207,0.22646638914814196,0.9566364690063167,1.1593663159394616,0.7212193785479216,0.09970144234325855,0.9966110013722106,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.0,0.6,0.4,47,38,33,39,39,39
v0%_m70%_c30%,9.401248237952382,0.2617576164491744,0.3557123418453693,0.23048621562670155,0.9621296260438233,1.1622319444045948,0.7358688064946656,0.10248876796427925,1.0108175492003457,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.0,0.7,0.3,46,26,32,38,36,34
v0%_m80%_c20%,9.439683750799107,0.2622197440665015,0.3645088418228407,0.240188051427106,0.925190669336615,1.1058415643986503,0.7193782810732093,0.09926998168634324,1.0487424555494411,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.0,0.8,0.2,59,25,47,57,40,41
v0%_m90%_c10%,10.632106567636193,0.27584594833933584,0.356867734017727,0.2512486766470008,0.9386952858290853,1.138473538147134,0.7729641041900234,0.10621142782558077,1.0908092356819281,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.0,0.9,0.1,57,10,34,48,20,26
v0%_m100%_c0%,13.014486756099444,0.29966623167905104,0.36116692835025355,0.25634332005228533,1.0129627392907605,1.2454298965858872,0.8297166992777363,0.1229485938417243,1.1106307585472903,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.0,1.0,0.0,22,1,39,15,8,1
v10%_m0%_c90%,9.822886408720292,0.26674520232284205,0.3454256096628465,0.21249233558767527,1.0670747332874317,1.248976276631191,0.7722218470807631,0.11410606288370397,0.9359773449588967,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.1,0.0,0.9,11,19,31,14,21,10
v10%_m10%_c80%,9.70717642668213,0.2653941327744924,0.3454255489317176,0.21408011946567565,1.0528494347679527,1.2388112649258265,0.7683106637458207,0.11308459404063205,0.9378245338405272,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.1,0.1,0.8,13,20,27,16,23,12
v10%_m20%_c70%,10.206784244833987,0.27113640000404726,0.3454255484999445,0.21594056790927538,1.0703704368377702,1.2636540506551317,0.7849344125861345,0.11648798671010298,0.9476735771064314,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.1,0.2,0.7,7,13,26,10,16,6
v10%_m30%_c60%,9.262292282118642,0.26007395245032927,0.3454255690449084,0.2175172267027553,1.0117541299433161,1.1974105103213823,0.7529088051281964,0.10699113490576542,0.954571433640777,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.1,0.3,0.6,25,28,30,26,25,23
v10%_m40%_c50%,9.022591207374447,0.25712073977329863,0.34542515156137193,0.21809922275607982,0.9955135879421473,1.183132450256009,0.7443602141044897,0.10409759266931705,0.9588478331393899,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.1,0.4,0.5,32,36,21,33,33,31
v10%_m50%_c40%,8.246316667851216,0.24709944148782115,0.3649464753495219,0.22449816272776063,0.9224994938553766,1.0921905723095937,0.6770840607548421,0.09187479684522856,0.9950512537984281,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.1,0.5,0.4,61,53,50,61,58,57
v10%_m60%_c30%,8.987009614486192,0.25667694909665895,0.36494653488405304,0.22937862728692748,0.9446257119047968,1.1283219992975526,0.7033275413293283,0.09791404065219297,1.01269750050578,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.1,0.6,0.3,53,37,51,49,46,44
v10%_m70%_c20%,9.596100484694594,0.2640847428859123,0.3645086758988204,0.2347198007197732,0.9546904104330004,1.1492205450951236,0.7244950815909151,0.10223207653009685,1.0307794303315334,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.1,0.7,0.2,49,23,46,42,38,36
v10%_m80%_c10%,11.40035168199616,0.2839727149633182,0.3568684816332859,0.24555293035099726,0.9935646649159501,1.2089598067303136,0.7957349263898442,0.11451348814535278,1.0692040571480708,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.1,0.8,0.1,33,5,35,23,10,9
v10%_m90%_c0%,11.275046691049972,0.2826787121470449,0.36259998754476064,0.25448735123243066,0.9535983260928335,1.1720118093844465,0.7795883117953776,0.11030396385736085,1.1040557360239807,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.1,0.9,0.0,50,6,42,37,17,18
v20%_m0%_c80%,9.175798635360373,0.2590155508600236,0.34542556904343674,0.21094663603431058,1.0382509765379742,1.2140407965427558,0.7498447540444024,0.10861313706852346,0.9297326709971232,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.2,0.0,0.8,16,32,29,22,30,19
v20%_m10%_c70%,9.475427049887795,0.2626481287919964,0.3454255690433537,0.21167994349557426,1.0518149481490742,1.2328393246663896,0.7603609933086104,0.11155915767264003,0.9303514835557432,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.2,0.1,0.7,14,24,28,17,24,16
v20%_m20%_c60%,9.152804507586438,0.2587328140553933,0.3649470431726452,0.21604331428095802,1.0124488914798708,1.1832193656130454,0.7089598858127883,0.10604617048496506,0.951905419749446,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.2,0.2,0.6,24,33,58,32,43,27
v20%_m30%_c50%,9.199077075171097,0.2593011979992137,0.3649470431726452,0.21802954185478507,1.0058324946867778,1.179055914009124,0.7105173280621602,0.10448956978440929,0.9675551462329028,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.2,0.3,0.5,29,30,58,34,42,30
v20%_m40%_c40%,8.570643479791887,0.25137518214227184,0.36492293653762814,0.22170109216345044,0.9534241806370274,1.1252601755363885,0.6888445668208961,0.09582432767935782,0.9876836583728987,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.2,0.4,0.4,51,45,49,51,51,50
v20%_m50%_c30%,8.312454822752203,0.24798221617418625,0.3645062350292195,0.22385824235013824,0.9290800016596209,1.1018526375570779,0.6803236607305428,0.09256797312310559,0.9942220096250979,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.2,0.5,0.3,58,50,44,59,54,55
v20%_m60%_c20%,11.666284171200909,0.28668038282974107,0.36451236741859777,0.23068815667260315,1.069324001664439,1.281199461163004,0.7864764228987704,0.12133212732029862,1.0161773835309837,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.2,0.6,0.2,9,3,48,7,14,2
v20%_m70%_c10%,11.203209934922548,0.28193149080702584,0.3586192235552509,0.238575049681407,1.014068701358759,1.2272298762554699,0.7861583325401124,0.11530819979441116,1.0429857855405198,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.2,0.7,0.1,21,7,36,18,15,8
v20%_m80%_c0%,10.263286209349674,0.2717712206465941,0.361253569876747,0.2457279711002682,0.9432024348258704,1.1458984972392825,0.7523004429805838,0.10331414107596612,1.0798724851710886,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.2,0.8,0.0,54,12,40,45,27,33
v30%_m0%_c70%,8.365574163928207,0.24868714336450393,0.3649470431726452,0.2148456976601174,0.9713349889586514,1.1244610565083715,0.6814335066330643,0.09723706469136029,0.9552402332784258,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.3,0.0,0.7,40,48,58,52,53,47
v30%_m10%_c60%,8.282145595599435,0.24757836909355402,0.36494704317264604,0.21389841713901633,0.9704530396718419,1.1281408598297322,0.6783953281036222,0.09711315272360722,0.9489966493946239,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.3,0.1,0.6,41,51,60,50,55,48
v30%_m20%_c50%,8.746905752557854,0.2536444765731818,0.36494704317264604,0.21534566659627383,0.992100189198228,1.1580224304714841,0.6950172122731512,0.10171260466411194,0.952687956977517,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.3,0.2,0.5,34,42,60,40,49,38
v30%_m30%_c40%,8.094430460206894,0.2450504236564386,0.36494703309626475,0.2183204900490821,0.9392174944749336,1.1005673189240799,0.671468463731283,0.09263756700540435,0.9707848414236465,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.3,0.3,0.4,56,55,56,60,60,54
v30%_m40%_c30%,8.715352922284554,0.25324097950350266,0.36494671485421265,0.22123423762119984,0.9638697056855036,1.1395499749890614,0.693912204702723,0.09704527357320637,0.9887459906324061,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.3,0.4,0.3,42,44,52,47,50,49
v30%_m50%_c20%,8.970420708719894,0.25646955735384314,0.3645069007013537,0.22658228402570774,0.9553684141046207,1.146255130168395,0.7036068641234661,0.09733764947907303,1.0111258946983621,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.3,0.5,0.2,48,39,45,44,45,46
v30%_m60%_c10%,11.477004069930516,0.28475849670333586,0.3588027800745567,0.23452776747577492,1.0436226777650868,1.2589180468644363,0.7936351458708459,0.11685696887572276,1.0410164946151466,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.3,0.6,0.1,15,4,37,12,12,5
v30%_m70%_c0%,12.046552972842338,0.29046455886891764,0.36524506835770404,0.234164016288248,1.0696116458841576,1.2739979917965725,0.7952593588052232,0.12068254735867062,1.0445949293190724,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.3,0.7,0.0,8,2,62,8,11,3
v40%_m0%_c60%,8.522435588735426,0.25074797326811993,0.3649470261805312,0.21358888844752685,0.98669914338683,1.140853094963977,0.6870804672458969,0.0980954410830866,0.9586341594966175,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.4,0.0,0.6,38,46,54,46,52,43
v40%_m10%_c50%,7.975509493525152,0.24342449444280234,0.3649470261805313,0.21142659889184967,0.962151855580193,1.1179952227640413,0.6670132292635413,0.09339393943508577,0.9480218575792532,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.4,0.1,0.5,45,56,55,54,62,53
v40%_m20%_c40%,8.094438862179437,0.24505053785297903,0.3649470261805311,0.21297092324296102,0.9628100152388114,1.1232876875816111,0.6714687893682357,0.09439768329494957,0.9520680933472782,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.4,0.2,0.4,44,54,53,53,59,51
v40%_m30%_c30%,9.119447572063958,0.25832162875388764,0.364505910199313,0.21373851260140153,1.0214426314504823,1.1924531755584296,0.7086898223752711,0.10460024549352238,0.9558867489236523,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.4,0.3,0.3,18,35,43,28,44,28
v40%_m40%_c20%,10.426851048125387,0.27359289451865165,0.3661891750972715,0.2185714192322624,1.0687257068611833,1.261720717175401,0.7471353964681688,0.11280594844223613,0.9875411108999692,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.4,0.4,0.2,10,11,63,11,32,13
v40%_m50%_c10%,9.606432356174526,0.2642070576600575,0.3588195890346989,0.22461111074592421,0.9982010992932411,1.191276127584212,0.736322836695819,0.10246325885922991,1.0149328360525247,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.4,0.5,0.1,30,22,38,29,35,35
v40%_m60%_c0%,10.130168306048047,0.2702709706652815,0.3428917072499036,0.22741508383754858,1.0125580360789657,1.2160608610528103,0.7882108693527101,0.10662413487278888,1.0229451495261939,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.4,0.6,0.0,23,15,17,20,13,24
v50%_m0%_c50%,7.711099487840478,0.23973870052781598,0.3698669848847817,0.20974686573626258,0.9522845541776488,1.1082470609582182,0.648175453136207,0.0914964470225833,0.9386877950024587,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.5,0.0,0.5,52,59,64,56,64,58
v50%_m10%_c40%,8.31956914388248,0.2480768374379554,0.3706766842705833,0.21003173951406373,0.9906923492581108,1.1484845110016284,0.669253956250635,0.09751671618612727,0.9436060627615287,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.5,0.1,0.4,36,49,66,43,61,45
v50%_m20%_c30%,7.186057949541684,0.23211087167028932,0.3706700610275778,0.21090593445973035,0.9108841444524184,1.0625388515746368,0.6261926604669059,0.08385685491158643,0.9496042300091125,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.5,0.2,0.3,64,62,65,64,66,62
v50%_m30%_c20%,8.726663018165725,0.253385748359755,0.33678400513634116,0.20926633570322434,1.0196850231198806,1.2247887832961843,0.7523687125734377,0.10171307460395208,0.9426583826257142,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.5,0.3,0.2,19,43,15,19,26,37
v50%_m40%_c10%,7.6800576277502195,0.23929939835308,0.3344889092039885,0.21579740372163309,0.9235486382874438,1.1056339733724565,0.7154180356011235,0.08608886991729103,0.9791913464405395,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.5,0.4,0.1,60,60,11,58,41,61
v50%_m50%_c0%,9.913555459375612,0.26779482377782426,0.3177353615700245,0.2196754813586022,1.0369606219547456,1.2693474333412187,0.84282348195231,0.10741074697291346,0.9939383588651787,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.5,0.5,0.0,17,16,8,9,7,22
v60%_m0%_c40%,6.891917013355426,0.22764275864362893,0.3613112058847962,0.20922760492423598,0.896835571537402,1.0468009378062217,0.6300462175983899,0.08027332687726864,0.9468637929212277,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.6,0.0,0.4,65,63,41,65,65,65
v60%_m10%_c30%,7.3307600222425116,0.2342561196793045,0.33593684495838794,0.20662597079376047,0.9401340931784287,1.1174960736341666,0.6973219020031026,0.08694372565657456,0.9349416511120089,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.6,0.1,0.3,55,61,13,55,47,60
v60%_m20%_c20%,6.480065786458508,0.22112764639017102,0.3367840051363639,0.20839174346359657,0.8691690149509774,1.0316225329352033,0.6565859512854133,0.0753316172255327,0.9430454927761246,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.6,0.2,0.2,66,66,16,66,63,66
v60%_m30%_c10%,8.839557774544256,0.25482254607669264,0.3133272822919989,0.21313219222777535,1.007931011412442,1.2152166660250405,0.8132791508376088,0.0996610505480603,0.9683849422380937,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.6,0.3,0.1,27,41,5,21,9,40
v60%_m40%_c0%,11.138364965875185,0.2812535855006253,0.31772490299058204,0.21463646824454347,1.124010227496643,1.3566443643809463,0.8852110201414152,0.11895348412576433,0.9808213256211943,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.6,0.4,0.0,2,8,6,2,1,4
v70%_m0%_c30%,6.884757772978674,0.22753214864823046,0.335936844958388,0.20525488304634235,0.9136549925873848,1.081569357133597,0.6773063213010009,0.08142685469214164,0.9333962247970924,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.7,0.0,0.3,62,64,14,62,56,63
v70%_m10%_c20%,6.881395337524912,0.22748016792293368,0.3359368380254474,0.20580112031337994,0.9109773923361139,1.0632237981886101,0.6771516016522783,0.08134202928667407,0.9344431488285011,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.7,0.1,0.2,63,65,12,63,57,64
v70%_m20%_c10%,9.837783673359132,0.26691820151226686,0.3074663752999558,0.20545574125889124,1.104462694115377,1.3348091973128373,0.8681215994817929,0.11179324618408723,0.9419009616646089,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.7,0.2,0.1,4,18,2,4,3,15
v70%_m30%_c0%,10.854690893662916,0.2782490997933085,0.3177340882138859,0.210844294752882,1.1299765074153227,1.3606634972141423,0.875729454643854,0.11623420901771996,0.9779124727254664,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.7,0.3,0.0,1,9,7,1,2,7
v80%_m0%_c20%,7.840873889759781,0.24156012189426246,0.31118409506057837,0.204120551196949,0.9874562885134673,1.1782042704564237,0.7762611448610117,0.09256666302536119,0.933416843214085,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.8,0.0,0.2,37,57,4,35,18,56
v80%_m10%_c10%,9.301484027598441,0.26055088932836856,0.30746636097787433,0.2039459379722319,1.0814183970577413,1.3012100970993543,0.847412668168659,0.10757928500061634,0.9345068352021645,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.8,0.1,0.1,6,27,1,6,5,20
v80%_m20%_c0%,10.204280608008448,0.27110820406186753,0.3208851337962408,0.21010434011858686,1.099968729496143,1.328059507981983,0.8448761737713247,0.11125958810416779,0.9728259475411172,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.8,0.2,0.0,5,14,9,5,6,17
