,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Revenue (M),429794.3995172426,443577.8789216082,457497.3341930611,471537.9178035436,485684.05533764994,500254.5769977795,514636.8960864656,528789.4107288435,542670.1327604757,556236.8860794875
Free Cash Flow (M),113214.256593115,116845.03069297427,120511.62286473994,124210.12204802324,127936.42570946395,131774.51848074785,135563.03588706936,139291.01937396376,142947.40863253037,146521.0938483436
Growth Rate (%),3.275991627577457,3.2069937206830925,3.1379958137887285,3.068997906894364,3.0,3.0,2.875,2.75,2.6250000000000004,2.5
Discount Factor,1.07,1.14,1.23,1.31,1.4,1.5,1.61,1.72,1.84,1.97
PV of Future Cash Flow (M),105807.71644216354,102056.97501351581,98373.38188515826,94759.30739827566,91216.90338338685,87806.92568681164,84421.84560776399,81068.64145979205,77753.91897019776,74483.89434060999
Revenue Tag,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax
CFO Tag,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities
CapEx Tag,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment
Base Start,2024-09-29,2024-09-29,2024-09-29,2024-09-29,2024-09-29,2024-09-29,2024-09-29,2024-09-29,2024-09-29,2024-09-29
Base End,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27,2025-09-27
