,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Current
Year-End Price ($),198.08,85.35,210.73,322.56,405.0,532.17,561.02,110.38,105.26,115.82,169.23,157.74,293.65,132.69,177.57,129.93,192.53,250.42,271.86,278.12
Market Cap (B),,,187.19692341191,295.45531106833874,376.3571885449104,494.53333229862216,504.47647424140166,694.7862304316559,587.2195526975022,618.0347444915313,867.5069733285064,750.0515177599182,1304.7562242806396,2252.646723917175,2916.904510333374,2071.5290934768677,2993.853225347992,3785.5455224403377,4016.2582471948244,4087.78702848
Enterprise Value (B),,,180.80492341191,283.58031106833874,371.0941885449104,489.2703322986221,511.6214742414017,701.9312304316559,634.9225526975022,687.7227444915313,955.5709733285065,835.4615177599183,1196.6452242806397,2164.4797239171753,2841.494510333374,2011.3610934768676,2942.842225347992,3735.524522440338,3982.495247194824,4106.720641024
Trailing P/E,50.402037545318215,15.923505754613164,33.502383148727056,21.29108995494276,14.631503027987618,12.053680419921875,14.11371060737274,17.11317786874697,11.416486131912198,13.937424752686427,18.374592369982523,13.244332954925614,24.697224045120635,40.4542690370141,31.652407722677136,21.265137917476473,31.40783014344158,41.18749969883969,36.442357285732236,35.205063
P/S,,,5.12348915926075,4.529786294646819,3.476772889771826,3.159795871767719,2.9517083508361224,3.80090391111166,2.512545419410402,2.866062004050897,3.7843730569134877,2.824042311639595,5.014937020150513,8.205914882309438,7.973671290107824,5.2533147366579795,7.811036762064762,9.680835532472383,9.650731921527544,9.383902
P/B,,,18.749691848148036,13.250899720515708,11.894980674617901,15.630004181372382,6.5845653493624186,9.068540500315288,4.752928414616891,5.540577016786927,7.268291846412018,5.848400515870831,9.733572734045817,21.0238898328201,32.23526335352062,31.70432809618861,47.45368878345209,74.70685037970354,70.5225328743604,46.368786
EV/Revenue,,,4.94854321405452,4.347724201890974,3.4281535029876524,3.1261681977830023,2.993513979529587,3.8399914135050515,2.7166529863188167,3.189231746073444,4.168539454568286,3.145622160657837,4.599403569459822,7.884741175954594,7.767529968080691,5.100731100700097,7.677947807370474,9.552916036775066,9.569602262573436,9.427
EV/EBITDA,,,21.878620935613505,14.769807868142642,10.485848786236518,8.458884395128406,9.336328660037623,11.816427292083832,7.894101115224446,10.06561010028001,13.740523601295676,10.213341129814038,15.647125596985234,27.98510193314511,23.633233058589354,15.407887893281556,23.389303968748944,27.740210769564595,27.513300682529806,26.859
Dividend Yield (%),,,,0.0,0.0,0.4979611866714331,2.0320131311206966,1.6488494702726972,1.8810563935172906,1.8822310531377253,1.4181883002963664,1.7243564760227397,1.0216244040030666,0.5991408435997724,0.47868444272123906,0.692680713255946,0.4882356027423816,0.3913425473866688,0.3751931343191098,37.0
SBC/Revenue (%),1.008081313005082,1.5887188644970598,1.9432356241618085,1.347642775009582,1.0789938013284186,1.1117642548623712,1.3182376689485695,1.5662354003118248,1.5343473889138481,1.9523370076841389,2.1113796382735543,2.0105800184491427,2.3322853167495596,2.4876600550061014,2.161189884559766,2.29200056805502,2.8263563666723197,2.988990755303234,3.0908710811440763,
FCF Yield (%),,,4.815784274490079,5.615062372719621,8.839740813408174,8.606295515445598,9.019449334762616,7.2168960471263,11.923819579636731,8.590131942125376,5.895860387583504,8.548879441175174,4.5139466594590525,3.256835580166962,3.186700136075979,5.379745828862744,3.3262819685632654,2.874275302066846,2.4591795128957235,
Adjusted FCF Yield (%),,,4.436504536843051,5.317555451344061,8.529397332387983,8.25444865571779,8.572847735869841,6.80482685597073,11.313145091103943,7.908940465833273,5.3379398003368586,7.836928345342678,4.048878941284686,2.953681076289634,2.9156593813309284,4.943449760009057,2.9644405827437974,2.565521915514903,2.1389062832301704,
Shareholder Yield (%),,,,,,,6.618346286654233,8.064494882863341,7.950007758690658,6.745090040899992,5.24064951611451,11.525874950321949,6.209282507517227,3.837219528577006,3.443307782074803,5.032176488771292,3.0921689552512883,2.910624092270087,2.6425591550077345,
Forward P/E,,,,,,,,,,,,,,,,,,,,29.974737
PEG Ratio,,,,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,,,,1.107
52-Week High ($),,,,,,,,,,,,,,,,,,,,288.62
52-Week Low ($),,,,,,,,,,,,,,,,,,,,169.21
Forward EPS ($),,,,,,,,,,,,,,,,,,,,9.27848
Trailing EPS ($),,,,,,,,,,,,,,,,,,,,7.9
Revenue Growth (%),,,,,,,,,,,,,,,,,,,,15.7
Earnings Growth (%),,,,,,,,,,,,,,,,,,,,18.3
Analyst Target Mean ($),,,,,,,,,,,,,,,,,,,,292.70367
Analyst Target High ($),,,,,,,,,,,,,,,,,,,,350.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,,,,205.0
Analyst Recommendation,,,,,,,,,,,,,,,,,,,,buy
Number of Analysts,,,,,,,,,,,,,,,,,,,,41.0
Short Ratio,,,,,,,,,,,,,,,,,,,,2.61
Debt/Equity,,,,,,,,,,,,,,,,,,,,102.63
