,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4
Data Source,10-K Derived,10-Q,10-Q,10-Q,10-K Derived,10-Q,10-Q,10-Q,10-K Derived,10-Q
Revenue (M),89498.0,119575.0,90753.0,85777.0,94930.0,124300.0,95359.0,94036.0,102466.0,143756.0
Gross Margin (%),45.17084180652082,45.87497386577462,46.578074554009234,46.2571551814589,46.22247972190035,46.882542236524536,47.050619238876244,46.490705687183635,47.177600374758455,48.158685550516154
Operating Income (M),26969.0,40373.0,27900.0,25352.0,29591.0,42832.0,29589.0,28202.0,32427.0,50852.0
Operating Margin (%),30.133634271156893,33.7637466025507,30.742785362467355,29.555708406682445,31.171389444854103,34.458567980691875,31.029058610094484,29.99064188183249,31.646594968086976,35.373827875010434
Net Income (M),22956.0,33916.0,23636.0,21448.0,14736.0,36330.0,24780.0,23434.0,27466.0,42097.0
Net Profit Margin (%),25.649735189613175,28.36378841731131,26.044318094167686,25.004371801298714,15.523016959865163,29.227674979887368,25.986010759341017,24.920243311072355,26.804988971951673,29.283647291243497
D&A (M),,2848.0,,,,3080.0,,,,3214.0
EBITDA (M),26969.0,43221.0,27900.0,25352.0,29591.0,45912.0,29589.0,28202.0,32427.0,54066.0
R&D Expense (M),7307.0,7696.0,7903.0,8006.0,7765.0,8268.0,8550.0,8866.0,8866.0,10887.0
SBC (M),2625.0,2997.0,2964.0,2869.0,2858.0,3286.0,3226.0,3168.0,3183.0,3594.0
Interest Expense (M),1002.0,,,,,,,,,
Income Tax (M),4042.0,6407.0,4422.0,4046.0,14874.0,6254.0,4530.0,4597.0,5338.0,8905.0
Effective Tax Rate (%),14.971479368842136,15.889194752374575,15.760210991517571,15.87040087863811,50.23302938196556,14.686267142588767,15.455475946775845,16.399700331775534,16.272405804170223,17.460099603937103
EPS Diluted ($),1.4699999999999998,2.18,1.53,1.4,0.9700000000000006,2.4,1.65,1.57,1.8399999999999999,2.84
Dividends Per Share ($),0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.26,0.26,0.26
Cash from Operations (M),,39895.0,,,,29935.0,,,,53925.0
CapEx (M),,2392.0,,,,2940.0,,,,2373.0
Free Cash Flow (M),,37503.0,,,,26995.0,,,,51552.0
