,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Current
Year-End Price ($),92.64,51.28,134.52,180.0,173.1,250.87,398.79,310.35,675.89,749.87,1169.47,1501.97,1847.84,3256.93,3334.34,84.0,151.94,219.39,230.82,204.27
Market Cap (B),,,59.726878509521484,81.18,78.76049757003784,113.89497951507569,183.04461742401122,144.31274929046631,318.3441753387451,357.68798767089845,566.0234732055665,737.4673005676269,920.2243029785157,1638.2357556152344,1697.1790115356446,860.328,1577.593045349121,2323.998263534546,,2192.822239232
Enterprise Value (B),,,54.37487850952149,73.61,71.52249757003784,111.02397951507568,178.70661742401123,144.7707492904663,314.5681753387451,346.37798767089845,560.0794732055664,722.5533005676269,891.3303029785156,1588.1687556152344,1653.1740115356445,863.843,1566.4890453491212,2280.947263534546,,2277.217140736
Trailing P/E,82.71428516932896,34.416105923236614,65.94117482503255,71.14624505928855,126.35036106527286,,675.9152816513838,,540.7119750976562,153.03469288105867,190.15772129462016,74.57646783792748,80.30595244764504,77.86110283625688,51.44792323383978,,52.39310429014009,39.67269428384239,32.19246964075575,28.529331
P/S,,,2.436936574708127,2.3734066191088763,1.6382157283116219,1.8642885357581995,2.458558768387837,1.6217102226195252,2.97501238564889,2.630310159580684,3.1823028190073788,3.1666314588947726,3.2803997653607047,4.243430507934525,3.612387269084131,1.6738452439088451,2.744666345414583,3.642864609692074,,3.0586538
P/B,,,49.89714161196448,30.381736526946106,14.982023505808986,16.59309142119401,23.59734658038046,17.616302403621376,32.6640853005074,33.30118123739861,42.291054483380634,38.24046152800762,33.210303618987176,37.618217539214086,27.34738980882444,9.210826088818466,11.411573983501183,15.913109587823763,,5.3325853
EV/Revenue,,,2.2185678122127173,2.1520874751491053,1.4876655691918763,1.8172946084670205,2.400293040133391,1.6268569839806075,2.9397246447745466,2.547140444828538,3.148884402896374,3.1025918173518785,3.1773989312015303,4.113744756349296,3.5187241370894604,1.680683991493882,2.7253478176172328,3.575382216622927,,3.176
EV/EBITDA,,,35.93845241871876,37.59448416751788,37.722836271117,47.67023594464392,55.758694984090866,38.15781478399217,43.79952316050475,32.83826200899682,35.939391247790454,26.02670198716328,24.534277538632416,32.983774779132595,27.9370344154735,15.947183813620336,18.318295566264645,18.790549836347463,,15.626
Dividend Yield (%),,,,,,,,,,,,,,,,,,,,
SBC/Revenue (%),1.2470508931580722,1.434832515913597,1.3913256354808439,1.2396210969477255,1.1585581463069659,1.3634949994271028,1.5231289958631065,1.6822492920393763,1.980262789002486,2.1877091192540465,2.3697615058527206,2.326450166819101,2.4468669123990274,2.385096771519748,2.7152836606204054,3.817441432887858,4.179475803996277,3.4502217227125884,2.7153505810936727,
FCF Yield (%),,,4.888921157221538,3.0992855383099283,2.6561538646193634,0.3468107213169268,1.1095655412228362,1.350539026927648,2.302853505078017,2.713538149044663,1.1446521755197563,2.3453243264735004,2.353013274037116,1.5824340245988784,-0.8676751185295176,-1.9635534354339277,2.0421616395291844,1.4147170639446252,,
Adjusted FCF Yield (%),,,4.3179889261898445,2.5769894062576992,1.9489465498043608,-0.38456479984003533,0.4900444561678405,0.3132086404162632,1.637221725339875,1.8818076737296134,0.39998341185008923,1.6106476844271644,1.607108174836508,1.0203659603145676,-1.6193341900412015,-4.244195237165361,0.5193988414285047,0.4675993166824698,,
Shareholder Yield (%),,,,,,,,,,,,,,,,,,,,
Forward P/E,,,,,,,,,,,,,,,,,,,,21.926064
PEG Ratio,,,,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,,,,1.385
52-Week High ($),,,,,,,,,,,,,,,,,,,,258.6
52-Week Low ($),,,,,,,,,,,,,,,,,,,,161.38
Forward EPS ($),,,,,,,,,,,,,,,,,,,,9.31631
Trailing EPS ($),,,,,,,,,,,,,,,,,,,,7.16
Revenue Growth (%),,,,,,,,,,,,,,,,,,,,13.600000000000001
Earnings Growth (%),,,,,,,,,,,,,,,,,,,,5.0
Analyst Target Mean ($),,,,,,,,,,,,,,,,,,,,283.1746
Analyst Target High ($),,,,,,,,,,,,,,,,,,,,360.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,,,,175.0
Analyst Recommendation,,,,,,,,,,,,,,,,,,,,strong_buy
Number of Analysts,,,,,,,,,,,,,,,,,,,,63.0
Short Ratio,,,,,,,,,,,,,,,,,,,,1.78
Debt/Equity,,,,,,,,,,,,,,,,,,,,43.435
