,2021,2022,2023,2024,2025
Revenue (M),,21173.4,27558.5,28262.9,32667.3
Gross Margin (%),,50.54,51.29,51.28,52.83
Operating Income (M),,6500.7,9042.3,9022.6,11301.4
Operating Margin (%),,30.7,32.81,31.92,34.6
Net Income (M),,5624.2,7839.0,7571.6,9609.4
Net Profit Margin (%),,26.56,28.44,26.79,29.42
D&A (M),,583.6,739.8,918.6,1025.9
EBITDA (M),,7100.5,9976.0,9941.2,12327.3
R&D Expense (M),,3253.5,3980.6,4303.7,4698.8
SBC (M),,68.9,134.8,172.6,202.3
Income Tax (M),,969.9,1435.8,1680.6,2013.4
EPS Diluted ($),,16.07,20.59,19.24,24.71
Cash from Operations (M),,8486.8,5443.4,11166.2,12658.5
CapEx (M),,1319.3,2196.2,2083.1,1631.2
Free Cash Flow (M),,7167.5,3247.2,9083.1,11027.3
Cash (B),,7.268,7.005,12.736,12.916
Total Debt (B),0.509,4.26,4.632,4.688,2.709
Total Assets (B),,36.3,39.958,48.59,50.567
Stockholders Equity (B),,8.811,13.452,18.477,19.612
Shares Outstanding (M),,394.6,393.4,393.3,388.1
