,Current
Price ($),1435.63
Market Cap (B),557.24
Forward P/E,32.49
Trailing P/E,48.83
P/S,17.06
P/B,23.77
EV/Revenue,16.4
EV/EBITDA,43.46
Dividend Yield (%),62.0
Beta,1.462
52-Week High ($),1493.48
52-Week Low ($),578.51
Forward EPS ($),44.185177
Trailing EPS ($),29.4
Analyst Target Mean ($),1493.4624
Analyst Target High ($),1901.47
Analyst Target Low ($),918.59424
Analyst Recommendation,buy
Number of Analysts,15
Short Ratio,0.55
Debt/Equity,13.813
Revenue Growth (%),4.9
Earnings Growth (%),7.2
