,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4
Revenue (M),,9262.8,7741.5,7691.7,7516.0,9718.1
Operating Income (M),,3355.4,2737.9,3137.9,2468.4,3431.1
Operating Margin (%),,36.22,35.37,40.8,32.84,35.31
Net Income (M),,2693.4,2355.0,2676.2,2124.5,2839.6
Net Profit Margin (%),,29.08,30.42,34.79,28.27,29.22
EPS Diluted ($),5.28,6.84,6.0,,5.48,7.34
SBC (M),,53.0,40.0,35.1,57.7,55.6
Cash from Operations (M),,9544.8,-58.6,1346.0,559.1,11410.3
CapEx (M),,705.5,416.5,988.3,315.4,470.4
Free Cash Flow (M),,8839.3,-475.1,357.7,243.7,10939.9
Stockholders Equity (B),,18.477,17.501,17.618,18.994,19.612
