,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Revenue (M),13240.0,17636.0,20848.0,22597.0,23888.0,27450.0,33203.0,35819.0,51574.0,63887.0
Gross Margin (%),44.864048338368576,48.247902018598325,51.4821565617805,55.241846262778246,56.58070997990623,61.36247723132969,66.54519169954523,68.92989754041152,63.03369915073487,67.76652527118193
Operating Income (M),-409.0,2383.0,5135.0,3444.0,4014.0,8519.0,14225.0,16207.0,13463.0,25484.0
Operating Margin (%),-3.0891238670694867,13.512134270809709,24.630660015349193,15.240961189538435,16.803415941058272,31.034608378870676,42.84251423064181,45.2469359836958,26.104238569822,39.889179332258514
Net Income (M),-1739.0,1692.0,12259.0,2724.0,2960.0,6736.0,11495.0,14082.0,5895.0,23126.0
Net Profit Margin (%),-13.134441087613293,9.59401224767521,58.80180353031466,12.054697526220295,12.391158740790354,24.539162112932605,34.62036562961178,39.31433038331612,11.430177996664986,36.19828760154648
D&A (M),402.0,451.0,515.0,569.0,570.0,539.0,529.0,502.0,593.0,574.0
EBITDA (M),-7.0,2834.0,5650.0,4013.0,4584.0,9058.0,14754.0,16709.0,14056.0,26058.0
R&D Expense (M),2674.0,3292.0,3768.0,4696.0,4968.0,4854.0,4919.0,5253.0,9310.0,10977.0
SBC (M),679.0,921.0,1227.0,2185.0,1976.0,1704.0,1533.0,2171.0,5741.0,7568.0
Interest Expense (M),585.0,454.0,628.0,1444.0,1777.0,1885.0,1737.0,1622.0,3953.0,
Income Tax (M),642.0,35.0,-8084.0,-510.0,-518.0,29.0,939.0,1015.0,3748.0,-397.0
Effective Tax Rate (%),-57.994579945799465,1.9178082191780823,-177.86578657865786,-22.911051212938006,-21.20343839541547,0.4286770140428677,7.5518738941611705,6.723190037755845,37.79749899152884,-1.74666725328875
EPS Diluted ($),-4.86,4.02,28.44,6.43,6.33,15.0,26.53,32.98,1.23,4.77
Dividends Per Share ($),1.94,4.08,7.0,10.6,13.0,14.4,16.4,18.4,2.105,2.36
Cash from Operations (M),3411.0,6551.0,8880.0,9697.0,12061.0,13764.0,16736.0,18085.0,19962.0,27537.0
CapEx (M),723.0,1069.0,635.0,432.0,463.0,443.0,424.0,452.0,548.0,623.0
