,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Revenue (M),70275.7,76249.1345,81586.573915,86073.835480325,89516.78889953799,93097.46045551951,96472.24339703209,99607.59130743562,102471.3095575244,105033.09229646249
Free Cash Flow (M),32103.16344086688,34831.93233334056,37270.1675966744,39320.026814491495,40892.82788707115,42528.541002554004,44070.20061389657,45502.482133848214,46810.67849519635,47980.94545757625
Growth Rate (%),10.0,8.5,7.000000000000001,5.5,4.0,4.0,3.6250000000000004,3.25,2.875,2.5
Discount Factor,1.07,1.14,1.23,1.31,1.4,1.5,1.61,1.72,1.84,1.97
PV of Future Cash Flow (M),30002.956486791474,30423.55868053154,30423.55868053154,29997.06019435586,29156.021123486065,28338.56258731356,27444.706057106236,26482.85888220765,25461.907546795435,24391.07965931338
Revenue Tag,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax
CFO Tag,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities
CapEx Tag,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment
Base Start,2024-11-04,2024-11-04,2024-11-04,2024-11-04,2024-11-04,2024-11-04,2024-11-04,2024-11-04,2024-11-04,2024-11-04
Base End,2025-11-02,2025-11-02,2025-11-02,2025-11-02,2025-11-02,2025-11-02,2025-11-02,2025-11-02,2025-11-02,2025-11-02
