,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Revenue (M),7782.34,7247.717,5979.354,6070.234,6784.039,6989.624,7606.248,4783.157,5461.094,7613.015,8159.254,9286.561,9699.039,10978.614
Gross Margin (%),0.33974357326973637,0.41871116104560924,0.45892917529218036,0.4035758753286941,0.508856154865855,0.4482930698418112,0.3870896662848753,0.6681361285025769,1.2263659991935683,2.7610348856530558,3.2081977102318424,3.1730691264505775,1.7863109943160347,1.9211532530426882
Operating Income (M),,,,,,,,,,,,,,
Operating Margin (%),,,,,,,,,,,,,,
Net Income (M),10.569,12.514,8.259,,,,,2.225,30.509,159.637,132.536,156.36,68.546,17.32
Net Profit Margin (%),0.13580748206837534,0.1726612669893154,0.13812528911986144,,,,,0.0465173942649175,0.5586609569437919,2.096895907863048,1.6243641881966169,1.6837233934068812,0.706729811066849,0.1577612620318011
D&A (M),0.727,0.826,0.934,0.895,1.216,1.521,2.626,2.807,2.9,10.788,27.3,12.525,11.397,22.92
EBITDA (M),0.727,0.826,0.934,0.895,1.216,1.521,2.626,2.807,2.9,10.788,27.3,12.525,11.397,22.92
R&D Expense (M),,,,,,,,,,,,,,
SBC (M),0.137,0.169,0.194,0.253,0.419,0.996,1.191,1.096,0.953,1.173,2.14,2.176,1.923,1.594
Interest Expense (M),4.248,3.484,3.926,4.311,6.319,10.117,13.891,17.146,18.859,19.865,21.992,31.528,39.531,46.203
Income Tax (M),8.342,8.052,5.272,2.097,6.293,3.721,0.008,1.015,6.387,31.877,33.338,46.401,13.745,5.426
Effective Tax Rate (%),44.100232607316556,39.15199844403384,38.9623826768162,22.923043288150417,40.43305062965818,34.501622624014836,-0.23453532688361184,30.973451327433626,16.862030730239187,16.53362793761443,20.03280914810386,22.838509622483635,16.604653410326414,25.510108133521392
EPS Diluted ($),1.29,1.59,1.09,1.0,1.3,1.0,-0.48,0.31,4.31,17.79,5.45,6.34,2.84,0.71
Dividends Per Share ($),,,,0.05,0.05,0.05,0.07,0.0,,1.5,1.0,,,
Cash from Operations (M),25.393,-1.206,-16.745,-3.905,-56.156,-9.781,7.646,-14.533,47.935,-52.654,-89.166,-30.323,60.934,152.347
CapEx (M),0.568,0.48,1.011,1.784,1.466,2.265,1.317,0.49,0.836,2.113,2.879,4.783,7.256,10.678
Free Cash Flow (M),24.825,-1.686,-17.756,-5.689,-57.622,-12.046,6.329,-15.023,47.099,-54.767,-92.045,-35.106,53.678,141.669
FCF to Profit Margin (%),,,,,,,,,,,,,,
