,2006,2007,2008,2009,2010,Current
Year-End Price ($),30.7,42.05,36.77,39.38,53.18,47.64
Market Cap (B),,,32.54145040512085,35.56014096450806,53.020460304260254,79.81416448
Enterprise Value (B),,,32.54145040512085,37.909140964508055,54.09746030426025,86.522167296
Trailing P/E,,32.85156190395355,41.31460725591424,,16.21341472718774,16.259384
P/S,,,4.2744582168817615,4.370715457781226,4.8535756411809095,4.707134
P/B,,,,2.3607608686521977,3.519913716010108,3.0052989
EV/Revenue,,,4.2744582168817615,4.659432271940518,4.952165901158939,5.103
EV/EBITDA,,,9.781019057745972,9.910886526668772,8.87716775586811,8.736
Dividend Yield (%),,,1.0878433370145455,1.015744004953488,0.8273787090542319,358.0
SBC/Revenue (%),,,,,,
FCF Yield (%),,,1.0386752765845098,-13.467325691368364,1.0693984864451298,
Adjusted FCF Yield (%),,,,,,
Shareholder Yield (%),,,,,,
Forward P/E,,,,,,11.983278
PEG Ratio,,,,,,
Beta,,,,,,0.981
52-Week High ($),,,,,,54.69
52-Week Low ($),,,,,,17.0
Forward EPS ($),,,,,,3.97554
Trailing EPS ($),,,,,,2.93
Revenue Growth (%),,,,,,64.5
Earnings Growth (%),,,,,,150.0
Analyst Target Mean ($),,,,,,54.60714
Analyst Target High ($),,,,,,71.0
Analyst Target Low ($),,,,,,30.0
Analyst Recommendation,,,,,,buy
Number of Analysts,,,,,,14.0
Short Ratio,,,,,,1.34
Debt/Equity,,,,,,14.509
