,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Current
Year-End Price ($),,,9.97,18.85,19.5,14.65,11.79,8.27,25.65,61.1,34.73,30.25,27.4,34.05,62.81
Market Cap (B),,,0.07380456205672455,0.1395402192238922,0.136918275,0.10301073981771469,0.08290079523177146,0.05815009471874237,0.18035797231769563,0.6861320255649033,0.780011964938942,0.707241612,0.6394169948978748,0.8389710745016403,1.76731264
Enterprise Value (B),,,0.05369556205672455,0.1264962192238922,0.115991275,0.08586873981771469,0.09012679523177147,0.15000909471874238,0.18035797231769563,0.6861320255649033,0.780011964938942,0.707241612,0.6394169948978748,0.8389710745016403,2.405066752
Trailing P/E,,,9.146789235806246,18.850000381469727,15.0,14.649999618530273,,26.677420831495716,5.95127601358011,3.4345136860101797,6.372476980226849,4.771293375394322,9.647887189623336,47.95774540431063,130.85417
P/S,,,0.012343233408947614,0.022987617812409242,0.020182412719030655,0.014737665404850775,0.010899039215099411,0.012157262393591172,0.03302597836947974,0.09012618858164646,0.09559844134512076,0.07615753689659714,0.06592580923717029,0.07641866946971998,0.11271961
P/B,,,1.492327767242085,2.493481634392842,2.16269843150263,1.4802307743489056,1.2618465589785302,0.8347942048112545,1.7856517793126572,1.8921359802464357,1.5963929541595467,1.1804614611690754,1.0523078813985989,1.291686539672064,2.3917596
EV/Revenue,,,0.008980161077053565,0.020838771491163637,0.017097672197934004,0.012285172967489337,0.011849047681823084,0.0313619424824948,0.03302597836947974,0.09012618858164646,0.09559844134512076,0.07615753689659714,0.06592580923717029,0.07641866946971998,0.153
EV/EBITDA,,,57.48989513567939,141.33655779205833,95.38756167763158,56.455450241758506,34.32094258635623,53.44107400026447,62.19240424748125,63.60141134268662,28.571866847580292,56.46639616766467,56.10397428251951,36.604322622235614,27.691
Dividend Yield (%),,,,0.265251984021984,0.2564102564102564,0.3412969372146382,0.5937234964078673,0.0,,2.454991878003606,2.879355062426264,,,,128.0
SBC/Revenue (%),0.0017603959734475748,0.0023317687486970034,0.0032444976497461096,0.004167878865954756,0.006176261663590083,0.01424969354574724,0.015658179959422834,0.022913736680606554,0.017450715918825056,0.015407824626642664,0.02622788799074033,0.023431709542423726,0.01982670654278223,0.014519136932949825,
FCF Yield (%),,,-24.058133406920202,-4.076960772773334,-42.08495907503947,-11.693926304496317,7.634426162385509,-25.834867634631614,26.114176930885208,-7.981991505921833,-11.800460010533957,-4.963791638436569,8.394834736692172,16.886041045473853,
Adjusted FCF Yield (%),,,-24.32098978678856,-4.258270506559879,-42.390981043253724,-12.660815778120618,6.1977692561758175,-27.719645304042267,25.585783321357752,-8.152949857419017,-12.074814776382647,-5.271465842425573,8.094092026482045,16.696046414139648,
Shareholder Yield (%),,,,,,,,,,3.08978435783488,2.9031605946932637,2.0448457436070657,4.20805205596662,,
Forward P/E,,,,,,,,,,,,,,,
PEG Ratio,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,0.484
52-Week High ($),,,,,,,,,,,,,,,66.7
52-Week Low ($),,,,,,,,,,,,,,,19.39
Forward EPS ($),,,,,,,,,,,,,,,
Trailing EPS ($),,,,,,,,,,,,,,,0.48
Revenue Growth (%),,,,,,,,,,,,,,,136.20000000000002
Earnings Growth (%),,,,,,,,,,,,,,,70.39999999999999
Analyst Target Mean ($),,,,,,,,,,,,,,,66.75
Analyst Target High ($),,,,,,,,,,,,,,,90.0
Analyst Target Low ($),,,,,,,,,,,,,,,57.0
Analyst Recommendation,,,,,,,,,,,,,,,strong_buy
Number of Analysts,,,,,,,,,,,,,,,4.0
Short Ratio,,,,,,,,,,,,,,,2.6
Debt/Equity,,,,,,,,,,,,,,,129.618
