,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Current
Year-End Price ($),4736.0,3214.0,3286.0,80.11,76.3,89.7,118.56,150.15,132.04,162.98,198.22,204.18,226.5,231.87,299.0,308.9,356.66,453.28,501.6
Market Cap (B),7.320676830345154,4.978357345458984,5.097157858676147,131032.80370832825,125886.68833506775,0.14812106676065062,0.19486675326727296,0.2467649083691406,,,,,,,,,,,1082.119159808
Enterprise Value (B),7.320676830345154,4.978357345458984,-39.23184214132385,131007.26470832825,125856.13033506775,-38.07887893323935,-37.10413324673273,-46.74523509163086,,,,,,,,,,,-251.424456704
Trailing P/E,,,,,,,,,,,,,,,,,,,16.040934
P/S,0.061911089943297,0.04618742086596575,0.045310889199115925,962.1676668379649,876.1113547065013,0.0009117218490404008,0.0010698147310857697,0.001267586713972357,,,,,,,,,,,2.907922
P/B,,,0.0388793295195813,832.9167908842488,763.6438479530952,0.000789360164354616,0.0008782133186140563,0.0010274593345094751,,,,,,,,,,,0.0010336421
EV/Revenue,0.061911089943297,0.04618742086596575,-0.3487491856499858,961.9801351714818,875.8986855900823,-0.23438493031175928,-0.20370097857113767,-0.24012182013751707,,,,,,,,,,,-0.676
EV/EBITDA,3.0414112298899685,1.7716574183128058,-2.74636626820608,6079.223420340058,5550.190965561287,-1.4515640198696051,-5.701311193413142,-6.342637054495367,,,,,,,,,,,-2.421
Dividend Yield (%),,,,,,,,,,,,,,,,,,,
SBC/Revenue (%),,,,,,,,,,,,,,,,,,,
FCF Yield (%),98.03738324099221,102.72464680874592,214.0212310951132,0.009093142833547337,0.009758776056846843,7544.504130568896,8527.365351650653,6818.2304004227135,,,,,,,,,,,
Adjusted FCF Yield (%),,,,,,,,,,,,,,,,,,,
Shareholder Yield (%),,,,,,,,,,,,,,,,,,,
Forward P/E,,,,,,,,,,,,,,,,,,,20.821632
PEG Ratio,,,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,,,0.702
52-Week High ($),,,,,,,,,,,,,,,,,,,542.07
52-Week Low ($),,,,,,,,,,,,,,,,,,,455.19
Forward EPS ($),,,,,,,,,,,,,,,,,,,24.09033
Trailing EPS ($),,,,,,,,,,,,,,,,,,,31.27
Revenue Growth (%),,,,,,,,,,,,,,,,,,,2.1
Earnings Growth (%),,,,,,,,,,,,,,,,,,,17.2
Analyst Target Mean ($),,,,,,,,,,,,,,,,,,,526.0
Analyst Target High ($),,,,,,,,,,,,,,,,,,,587.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,,,481.0
Analyst Recommendation,,,,,,,,,,,,,,,,,,,buy
Number of Analysts,,,,,,,,,,,,,,,,,,,3.0
Short Ratio,,,,,,,,,,,,,,,,,,,2.43
Debt/Equity,,,,,,,,,,,,,,,,,,,18.166
