,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Revenue (M),72483.0,71422.0,77946.0,88915.0,99137.0,105156.0,112640.0,116199.0,118719.0,129025.0,141576.0,152703.0,166761.0,195929.0,226954.0,242290.0,254453.0,275235.0
Gross Margin (%),,,,,,,,,,,,,,,,,,
Operating Income (M),1969.0,1777.0,2077.0,2439.0,2759.0,3053.0,3220.0,3624.0,3672.0,4111.0,4480.0,4737.0,5435.0,6708.0,7793.0,8114.0,9285.0,10383.0
Operating Margin (%),2.716499041154478,2.4880288986586767,2.664665281092038,2.7430692234156218,2.7830174405116153,2.9033055650652364,2.858664772727273,3.11878759713939,3.0930179667955424,3.1862042239875996,3.164378143188111,3.102100155203238,3.259155318089961,3.4236891935343925,3.4337354706240033,3.3488794419910026,3.6490039417888567,3.7724126655403563
Net Income (M),1283.0,1086.0,1303.0,1462.0,1709.0,2039.0,2058.0,2377.0,2350.0,2679.0,3134.0,3659.0,4002.0,5007.0,5844.0,6292.0,7367.0,8099.0
Net Profit Margin (%),1.7700702233627197,1.5205398896698497,1.671670130603238,1.6442669965697578,1.723877059019337,1.9390239263570315,1.8270596590909092,2.045628619867641,1.9794641127367987,2.0763417942259252,2.2136520314177544,2.396154626955594,2.3998416896036843,2.5555175599324245,2.5749711395260713,2.59688802674481,2.8952301603832535,2.9425763438516177
D&A (M),653.0,728.0,795.0,855.0,908.0,946.0,1029.0,1127.0,1255.0,1370.0,1437.0,1492.0,1645.0,1781.0,1900.0,2077.0,2237.0,2426.0
EBITDA (M),2622.0,2505.0,2872.0,3294.0,3667.0,3999.0,4249.0,4751.0,4927.0,5481.0,5917.0,6229.0,7080.0,8489.0,9693.0,10191.0,11522.0,12809.0
R&D Expense (M),,,,,,,,,,,,,,,,,,
SBC (M),166.0,181.0,190.0,207.0,241.0,285.0,327.0,394.0,459.0,514.0,544.0,595.0,619.0,665.0,724.0,774.0,818.0,860.0
Interest Expense (M),103.0,108.0,111.0,116.0,95.0,99.0,113.0,124.0,133.0,134.0,159.0,150.0,160.0,171.0,158.0,160.0,169.0,154.0
Income Tax (M),716.0,628.0,731.0,841.0,1000.0,990.0,1109.0,1195.0,1243.0,1325.0,1263.0,1061.0,1308.0,1601.0,1925.0,2195.0,2373.0,2719.0
Effective Tax Rate (%),,36.36363636363637,35.589094449853945,35.29164918170373,36.140224069389234,32.448377581120944,34.68877072255239,33.15760266370699,34.34650455927052,32.80514978955187,28.43313822602431,22.266526757607554,24.37115707098938,23.967065868263475,24.553571428571427,25.863084717803698,24.363449691991786,25.134035866149013
EPS Diluted ($),,2.47,2.92,3.3,3.89,4.63,4.65,5.37,5.33,6.08,7.09,8.26,9.02,11.27,13.14,14.16,16.56,18.21
Dividends Per Share ($),0.61,0.68,0.77,0.89,1.03,8.17,1.33,6.51,1.7,8.9,2.14,,,,,3.84,19.36,4.92
Cash from Operations (M),2206.0,2092.0,2780.0,3198.0,3057.0,3437.0,3984.0,4285.0,3292.0,6726.0,5774.0,6356.0,8861.0,8958.0,7392.0,11068.0,11339.0,13335.0
CapEx (M),1599.0,1250.0,1055.0,1290.0,1480.0,2083.0,1993.0,2393.0,2649.0,2502.0,2969.0,2998.0,2810.0,3588.0,3891.0,4323.0,4710.0,5498.0
Free Cash Flow (M),607.0,842.0,1725.0,1908.0,1577.0,1354.0,1991.0,1892.0,643.0,4224.0,2805.0,3358.0,6051.0,5370.0,3501.0,6745.0,6629.0,7837.0
FCF to Profit Margin (%),,,,,,,,,,,,,,,,,,
Buyback (M),895.0,69.0,551.0,624.0,632.0,36.0,334.0,481.0,486.0,469.0,328.0,247.0,196.0,496.0,439.0,676.0,700.0,903.0
Dividends Paid (M),265.0,296.0,338.0,389.0,446.0,3560.0,584.0,2865.0,746.0,3904.0,689.0,1038.0,1479.0,5748.0,1498.0,1251.0,9041.0,2183.0
Cash (B),,,2.619,3.157,3.214,4.009,3.528,4.644,5.738,4.801,3.379,,6.055,12.277,10.203,13.7,9.906,14.161
Total Cash (B),,,2.619,3.157,3.214,4.009,3.528,4.644,5.738,4.801,3.379,,6.055,12.277,10.203,13.7,9.906,14.161
Total Debt (B),,,2.167,2.153,1.383,4.998,5.093,7.43,6.261,6.745,6.667,,7.752,8.33,6.557,6.458,5.897,5.788
Total Assets (B),,,21.979,23.815,26.761,27.14,30.283,33.024,33.017,33.163,36.347,,45.4,55.556,59.268,64.166,68.994,77.099
Accounts Receivable (B),,,0.884,0.965,1.026,1.201,1.148,1.224,1.252,1.432,1.669,,1.55,1.803,2.241,2.285,2.721,3.203
Stockholders Equity (B),,,10.829,12.002,12.361,10.833,12.303,10.617,12.079,10.778,12.799,,18.284,17.564,20.642,25.058,25.058,23.622
Shares Outstanding (M),444.24,440.454,445.97,443.094,439.373,440.512,442.485,442.716,441.263,440.937,441.834,442.923,443.901,444.346,444.757,444.452,444.759,444.803
ROE (%),,,12.032505309816234,12.181303116147308,13.825742253862956,18.822117603618572,16.72762740794928,22.388622021286615,19.45525291828794,24.856188532195212,24.486287991249316,,21.887989499015532,28.507173764518335,28.311210154054837,25.10974539069359,29.399792481443054,34.28583523833714
