,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Revenue (M),299643.5227383959,322569.8062904111,343324.3478220714,361235.7920199359,375685.22370073333,390712.6326487627,404875.96558228025,418034.43446370435,430052.9244545359,440804.2475658992
Free Cash Flow (M),7742.460317492288,8334.850364862094,8871.124977935968,9333.937070997685,9707.294553837593,10095.586335991096,10461.551340670772,10801.551759242571,11112.096372320797,11389.898781628815
Growth Rate (%),8.868248129197177,7.651186096897882,6.434124064598588,5.217062032299294,4.0,4.0,3.6250000000000004,3.25,2.875,2.5
Discount Factor,1.07,1.14,1.23,1.31,1.4,1.5,1.61,1.72,1.84,1.97
PV of Future Cash Flow (M),7235.944221955409,7279.981103032662,7241.480485122536,7120.815901017034,6921.1668570632855,6727.115449855903,6514.92839711512,6286.6014673096815,6044.244167752183,5790.04698312709
Revenue Tag,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax
CFO Tag,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities
CapEx Tag,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment
Base Start,2024-09-02,2024-09-02,2024-09-02,2024-09-02,2024-09-02,2024-09-02,2024-09-02,2024-09-02,2024-09-02,2024-09-02
Base End,2025-08-31,2025-08-31,2025-08-31,2025-08-31,2025-08-31,2025-08-31,2025-08-31,2025-08-31,2025-08-31,2025-08-31
