,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Current
Year-End Price ($),52.5,59.17,72.21,83.32,98.73,119.02,141.75,161.5,160.11,186.12,203.71,293.92,376.78,567.7,456.5,660.08,916.27,862.34,978.14
Market Cap (B),,,31.30375670310974,36.18304298747253,42.68591695137024,51.992576313560484,62.04156525,70.729248,70.05196790704346,81.37240634521484,89.26348413194275,,166.25605836135864,250.8240578933716,202.076116,292.2788110072632,406.0230686748047,382.2210064833374,434.252775424
Enterprise Value (B),,,30.851756703109743,35.179042987472535,40.85491695137024,52.98157631356049,63.60656525,73.515248,70.57496790704346,83.31640634521484,92.55148413194274,,167.95305836135864,246.87705789337159,198.430116,285.03681100726317,402.01406867480466,373.84800648333743,422.088278016
Trailing P/E,,23.955464845726844,24.72945174125776,25.24848475600734,25.380463587900667,25.706262773880432,30.483870967741932,30.074487895716945,30.039399739277965,30.611841302168997,28.732017872195655,35.58353673459254,41.771618489944224,50.372671890597275,34.74124809741248,46.615820415949415,55.33031518908515,47.35530076087143,52.447186
P/S,,,0.40160825062363353,0.40693969507363814,0.4305750320402094,0.4944328075769379,0.550795146040483,0.6086906772003201,0.5900653468024786,0.6306716244542906,0.6304987012766482,,0.9969720639799392,1.2801783191532217,0.8903835843386766,1.2063180940495406,1.5956701971476253,1.3887078550450975,1.5487401
P/B,,,2.8907338353596583,3.01475112376875,3.453273760324427,4.799462412402888,5.042799743964887,6.661886408589997,5.799484055554554,7.549861416330938,6.97425456144564,,9.092980658573541,14.28057719729968,9.789560895262087,11.664091747436474,16.20333101902804,16.180721635904554,14.329203
EV/Revenue,,,0.39580936421509433,0.3956480120055394,0.41210564119723453,0.5038378819426422,0.5646889670632103,0.6326667871496312,0.5944707073597609,0.645738471964463,0.6537229765775466,,1.0071483042279588,1.2600332666086775,0.874318654881606,1.1764282925719725,1.5799148317166811,1.358286578681263,1.505
EV/EBITDA,,,10.74225511946718,10.679733754545396,11.14123723789753,13.24870625495386,14.969772946575665,15.473636708061461,14.324125818356698,15.200949889657881,15.641623142123162,,23.72218338437269,29.081995275459015,20.47148622717425,27.969464331985396,34.89099710769005,29.18635385145893,32.159
Dividend Yield (%),1.161904761904762,1.1492310648015032,1.0663343162478636,1.06817091125756,1.0432492302023864,6.86439273267779,0.9382716049382716,4.030959752321981,1.0617700290546936,4.781861290290845,1.0505129495213568,,,,,0.5817476518876856,2.1129142706103474,0.5705406042603435,54.0
SBC/Revenue (%),0.2290192182994633,0.25342331494497494,0.2437584994739948,0.23280661305741437,0.24309793518060865,0.27102590437064933,0.2903053977272727,0.3390734860024613,0.3866272458494428,0.3983724084479752,0.38424591738712777,0.3896452590977257,0.37118990651291367,0.33940866334233316,0.3190073759440239,0.31945189648768,0.32147390677256704,0.31246026123131143,
FCF Yield (%),,,5.510520722353548,5.273188329297226,3.6944269038347963,2.6042179403347925,3.2091388925749262,2.6749895601887355,0.9178899882630546,5.190948860575751,3.1423823832081825,,3.639566617685661,2.1409429562306395,1.732515484412814,2.3077280137944673,1.6326658536018681,2.0503844286595085,
Adjusted FCF Yield (%),,,4.903564816703012,4.701097142628187,3.1298378842887056,2.056062760869936,2.682072886612093,2.1179357088597914,0.2626621428311074,4.559285102446978,2.532950648282959,,3.267249358332261,1.8758168731964915,1.3742346473048799,2.0429123751470373,1.431199468287895,1.8253837129969874,
Shareholder Yield (%),,,2.8399147374911906,2.799653971476986,2.5254230832808564,6.916372018791664,1.479653191051623,4.7307162095092545,1.7586943476517625,5.374057615364053,1.1393236662113089,,1.007482083064532,2.4893943796469484,0.9585496981741276,0.6593019840744164,2.3991247669234874,0.807386288993651,
Forward P/E,,,,,,,,,,,,,,,,,,,43.952145
PEG Ratio,,,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,,,1.008
52-Week High ($),,,,,,,,,,,,,,,,,,,1078.23
52-Week Low ($),,,,,,,,,,,,,,,,,,,844.06
Forward EPS ($),,,,,,,,,,,,,,,,,,,22.25466
Trailing EPS ($),,,,,,,,,,,,,,,,,,,18.65
Revenue Growth (%),,,,,,,,,,,,,,,,,,,8.3
Earnings Growth (%),,,,,,,,,,,,,,,,,,,11.4
Analyst Target Mean ($),,,,,,,,,,,,,,,,,,,1047.9032
Analyst Target High ($),,,,,,,,,,,,,,,,,,,1205.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,,,650.0
Analyst Recommendation,,,,,,,,,,,,,,,,,,,buy
Number of Analysts,,,,,,,,,,,,,,,,,,,31.0
Short Ratio,,,,,,,,,,,,,,,,,,,2.68
Debt/Equity,,,,,,,,,,,,,,,,,,,26.968
