,2021,2022,2023,2024
Revenue (M),84.877,772.052,1450.466,1676.253
Gross Margin (%),-30.53,32.35,29.42,23.59
Operating Income (M),-80.06,63.514,234.406,162.907
Operating Margin (%),-94.32,8.23,16.16,9.72
Net Income (M),-508.206,-768.847,267.562,155.667
Net Profit Margin (%),-598.76,-99.58,18.45,9.29
D&A (M),3.945,13.277,34.887,50.854
EBITDA (M),-76.115,76.791,269.293,213.761
R&D Expense (M),,,,
SBC (M),18.383,69.266,107.999,50.134
Interest Expense (M),4.772,2.684,1.912,1.906
Income Tax (M),4.854,3.263,47.4,64.583
Effective Tax Rate (%),-0.96,-0.43,15.05,29.32
EPS Diluted ($),-2.569968,-3.888014,0.227097,0.73
Dividends Per Share ($),,,,
Cash from Operations (M),-92.325,-72.693,139.568,344.576
CapEx (M),7.872,18.315,32.862,39.098
Free Cash Flow (M),-100.197,-91.008,106.706,305.478
FCF to Profit Margin (%),19.72,11.84,39.88,196.24
Buyback (M),,0.0,8.745,0.0
Dividends Paid (M),,,,
Cash (B),0.161564,,0.368623,0.750981
Total Cash (B),0.161564,,0.520806,0.765309
Total Debt (B),0.928161,,0.058487,0.040717
Total Assets (B),43.896345,,25.996583,45.834409
Accounts Receivable (B),0.022703,,0.10313,0.145307
Stockholders Equity (B),-0.768408,,0.339471,0.570529
Shares Outstanding (M),222.54,,222.54,222.54
