,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Current
Year-End Price ($),41.77,57.56,66.73,89.37,184.58,183.63,206.69,188.49,296.95,337.34,598.3,924.28,79.03,77.28,87.39,71.59,51.195
Market Cap (B),,,1.6966769441127778,2.5334608378601073,5.324763892822266,5.934554621086121,6.719285413379669,6.145905243492127,9.682351600494385,12.294694062652589,21.938465071411134,36.42957247329712,31.21179159790039,,35.66385875091553,,21.69760768
Enterprise Value (B),,,1.4908909441127778,2.4976808378601074,4.932608892822266,6.183527621086121,6.835190413379669,5.989098243492126,9.260533600494385,11.083231062652589,20.86773407141113,33.72247447329712,28.37260959790039,,31.454358750915528,,20.514609152
Trailing P/E,44.43617069974859,89.93750065565109,107.62902998155164,241.54054796373524,175.7904779343378,125.7739785599382,,71.94275164422187,81.13387894760716,51.5810415285443,69.56976957099383,155.86509511603472,106.79729564769848,83.09677288096438,94.989129771357,210.55881275850183,853.25
P/S,,,6.739852323100913,7.239783382847456,12.075855366390362,10.304191127288657,9.44032771168487,7.337255403330977,10.03113413434558,10.31579456051909,15.673478084823548,21.958502267482842,16.05433346856077,,14.527030041106121,,7.098841
P/B,,,4.447360548864168,6.6407537519072175,8.077896972774028,7.181708589636653,7.241686170335319,4.060600235137965,6.2718467660511115,7.432352461655535,8.274762874648236,12.055020405188822,9.164862506441724,,6.244219338337657,,2.5164669
EV/Revenue,,,5.922391312049741,7.13753611477558,11.186500052891793,10.736483951491348,9.603169608718156,7.150052222929129,9.594121194424526,9.299323279331809,14.90851668900053,20.326756036728405,14.59395031615623,,12.812366089985959,,6.712
EV/EBITDA,,,119.18546199638482,65.8133076298413,73.46094916781738,64.05941924712126,213.7399672716367,27.84720436830858,38.998452787615484,31.548563116170723,46.924153320376185,83.03042372274285,49.61157135121026,,80.6935832501681,,130.004
Dividend Yield (%),,,,,,,,,,,,,,,,,
SBC/Revenue (%),3.0811937479430886,3.6709979669406874,3.2188227442817534,3.5097846463353304,9.422759857850108,4.908010612290255,4.852310597332824,4.3395055095925406,4.0435958269013605,3.4580377100128206,3.7332493164699483,3.2217834756563972,3.2769843657976425,3.4460701274148313,3.462321792260693,3.2526862071486002,
FCF Yield (%),,,0.6289942252725416,2.814016263232114,1.6762433376682917,1.9624893094114786,1.4314617415785784,2.8828625398612036,2.1710015156779363,2.4874632783991197,2.086654642929194,1.3343719593643757,1.1084496668985613,,1.043072771788752,,
Adjusted FCF Yield (%),,,0.1514136211324175,2.3292248736650265,0.8959458289654609,1.4861772387539054,0.9174636320291798,2.291428104088055,1.7678969641141702,2.1522455024221223,1.8484656911045954,1.1876505010239604,0.9043312977233496,,0.8047362513531501,,
Shareholder Yield (%),,,,,,,,,,,,,,,,,
Forward P/E,,,,,,,,,,,,,,,,,38.274345
PEG Ratio,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,0.85
52-Week High ($),,,,,,,,,,,,,,,,,97.43
52-Week Low ($),,,,,,,,,,,,,,,,,48.555
Forward EPS ($),,,,,,,,,,,,,,,,,1.33758
Trailing EPS ($),,,,,,,,,,,,,,,,,0.06
Revenue Growth (%),,,,,,,,,,,,,,,,,20.4
Earnings Growth (%),,,,,,,,,,,,,,,,,
Analyst Target Mean ($),,,,,,,,,,,,,,,,,80.36842
Analyst Target High ($),,,,,,,,,,,,,,,,,105.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,48.0
Analyst Recommendation,,,,,,,,,,,,,,,,,buy
Number of Analysts,,,,,,,,,,,,,,,,,19.0
Short Ratio,,,,,,,,,,,,,,,,,2.46
Debt/Equity,,,,,,,,,,,,,,,,,13.126
