,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Revenue (M),22697.0,28063.0,31755.0,35115.0,36670.0,37773.0,40362.0,40704.0,39450.0,41138.0,44438.0,47007.0,17095.0,29899.0,50582.0,58048.0,61643.0,63364.0
Gross Margin (%),,,,,,,,,,,,,,,,,,
Operating Income (M),-8314.0,-324.0,2217.0,1975.0,2175.0,3400.0,2206.0,7802.0,6952.0,6114.0,5264.0,6618.0,-12469.0,1886.0,3661.0,5521.0,5995.0,5822.0
Operating Margin (%),-36.630391681720056,-1.1545451305990095,6.981577704298536,5.624377046846077,5.931278974638669,9.001138379265614,5.465536891135226,19.16764937106918,17.62230671736375,14.862171228547815,11.845717629056212,14.078754228093688,-72.93945598128107,6.307903274357002,7.23775256019928,9.511094266813672,9.725354054799409,9.188182564232056
Net Income (M),-8922.0,-1237.0,593.0,854.0,1009.0,10540.0,659.0,4526.0,4373.0,3577.0,3935.0,4767.0,-12385.0,280.0,1318.0,4609.0,3457.0,5005.0
Net Profit Margin (%),-39.30915980085474,-4.407939279478317,1.8674224531569834,2.4320091129147086,2.7515680392691575,27.9035289757234,1.6327238491650562,11.11930031446541,11.084917617237009,8.695123729884777,8.85503397992709,10.141042823409279,-72.44808423515647,0.9364861701060236,2.605670001186193,7.939980705622933,5.608098243109517,7.898806893504198
D&A (M),1266.0,1536.0,1511.0,1523.0,1565.0,1658.0,1771.0,1835.0,1902.0,2235.0,2329.0,2581.0,2312.0,1998.0,2107.0,2341.0,2513.0,2443.0
EBITDA (M),-7048.0,1212.0,3728.0,3498.0,3740.0,5058.0,3977.0,9637.0,8854.0,8349.0,7593.0,9199.0,-10157.0,3884.0,5768.0,7862.0,8508.0,8265.0
R&D Expense (M),,,,,,,,,,,,,,,,,,
SBC (M),54.0,108.0,89.0,72.0,54.0,90.0,81.0,76.0,154.0,169.0,159.0,161.0,119.0,149.0,150.0,180.0,236.0,313.0
Interest Expense (M),685.0,908.0,1004.0,,812.0,852.0,650.0,481.0,388.0,396.0,,,,,,,,
Income Tax (M),-119.0,-344.0,15.0,-85.0,16.0,-8013.0,413.0,2631.0,2263.0,2124.0,1216.0,1431.0,-3202.0,118.0,596.0,999.0,1201.0,1180.0
Effective Tax Rate (%),1.3162260811857096,21.758380771663504,2.4671052631578947,-11.053315994798439,1.5609756097560976,-317.09537000395727,38.526119402985074,36.761212798658654,34.10186859553948,37.25662164532538,23.607066589011843,23.08809293320426,20.542759992301278,29.64824120603015,31.13897596656217,17.813837375178316,25.783598110777156,19.078415521422798
EPS Diluted ($),-19.08,-1.5,0.7,1.01,1.19,12.29,0.78,5.63,5.79,4.95,5.67,7.3,-19.49,0.44,2.06,7.17,5.33,7.66
Dividends Per Share ($),,,,0.0,0.0,0.12,0.3,0.45,0.68,1.02,1.31,1.51,0.4,0.0,0.0,0.2,0.5,0.675
Cash from Operations (M),-1707.0,1379.0,2832.0,2834.0,2476.0,4504.0,4947.0,7927.0,7205.0,5148.0,7014.0,8425.0,-3793.0,3264.0,6363.0,6464.0,8025.0,8342.0
CapEx (M),,,,,1968.0,2568.0,2249.0,2945.0,3391.0,3891.0,5168.0,4936.0,1899.0,3247.0,6366.0,5323.0,5140.0,4499.0
Free Cash Flow (M),,,,,508.0,1936.0,2698.0,4982.0,3814.0,1257.0,1846.0,3489.0,-5692.0,17.0,-3.0,1141.0,2885.0,3843.0
FCF to Profit Margin (%),,,,,,18.368121442125236,,110.07512152010605,87.217013491882,35.14117975957507,46.912325285895804,73.19068596601636,45.95882115462253,,,24.75591234541115,83.45386172982354,76.78321678321677
Buyback (M),,,,0.0,0.0,250.0,1100.0,2200.0,2601.0,1677.0,1575.0,2027.0,344.0,0.0,0.0,,,
Dividends Paid (M),,,,0.0,0.0,102.0,251.0,359.0,509.0,731.0,909.0,980.0,260.0,0.0,0.0,128.0,321.0,440.0
Cash (B),,,4.255,4.607,2.892,2.657,2.416,2.844,2.088,2.762,1.814,1.565,2.882,8.307,7.933,3.266,2.741,
Total Cash (B),,,4.255,4.607,2.892,2.657,2.416,2.844,2.088,2.762,1.814,1.565,2.882,8.307,7.933,3.266,2.741,
Total Debt (B),,,12.553,14.887,13.613,12.294,10.488,9.361,8.017,10.585,10.777,12.16,29.417,26.586,23.436,21.235,17.148,
Total Assets (B),,,43.188,43.499,44.55,44.55,52.252,54.005,53.134,51.261,53.671,60.266,64.532,71.996,72.459,72.288,73.644,
Accounts Receivable (B),,,1.456,1.563,1.693,1.609,2.297,2.02,2.064,2.377,2.314,2.854,1.396,2.404,3.176,3.13,3.224,
Stockholders Equity (B),,,0.874,0.245,0.897,-1.396,-2.131,11.643,8.813,10.85,11.279,12.53,13.687,15.358,1.534,3.887,6.582,
Shares Outstanding (M),0.000468,0.000827,0.000843,844.0,850.0,858.0,845.0,804.0,755.0,723.0,694.0,653.0,636.0,641.0,641.0,643.0,648.0,654.0
ROE (%),,,67.84897025171624,348.57142857142856,112.4860646599777,-755.0143266475644,-30.924448615673395,38.87314266082625,49.61987972313628,32.96774193548387,34.887844667080415,38.04469273743017,-90.48732373785344,1.8231540565177755,85.91916558018254,118.57473630048881,52.52202977818292,
ROA (%),,,1.3730665925720107,1.9632635232993862,2.2648709315375983,23.658810325476992,1.2611957437035903,8.380705490232385,8.230135130048556,6.978014474941964,7.33170613552943,7.909932631998141,-19.192028760924813,0.3889104950275015,1.8189596875474408,6.375885347498893,4.694204551626744,
