,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Revenue (M),190.995,252.753,360.541,442.93,478.452,499.278,628.492,685.988,762.31,883.112,991.346,958.434,1122.293,1412.044,1630.668,1838.372
Gross Margin (%),42.72677295217152,40.145121917445096,38.984193198554394,38.61874336802655,39.19097422520964,33.39682501532212,35.891467194490936,34.69914925625521,34.9889152706904,33.77340586471478,33.87878702289615,34.90047306335126,38.435506592307,36.50374917495488,37.27098342519753,37.588311832425646
Operating Income (M),24.401,26.523,41.318,57.232,67.42,34.04,67.343,64.222,72.225,49.821,76.453,110.022,155.881,192.162,238.755,263.62
Operating Margin (%),12.775727113275218,10.493643992356173,11.460000388305353,12.92122908811776,14.091277703928503,6.817844968133986,10.715013078925429,9.361971346437548,9.474492004565072,5.641526782559857,7.71203999410902,11.47935069081439,13.889510136835925,13.608782729150082,14.641545673306892,14.339861573174526
Net Income (M),15.653,26.592,34.78,41.836,48.097,32.445,51.565,61.733,48.888,56.726,67.659,89.476,114.758,142.968,184.558,198.297
Net Profit Margin (%),8.195502500065446,10.520943371592029,9.646614393369964,9.445284807983203,10.052628058823037,6.498383666013724,8.204559485244046,8.999137011143052,6.413139011688158,6.4234208118562535,6.824963231808066,9.335645438287873,10.225315492478346,10.124896957885166,11.317938415422391,10.78655462550561
D&A (M),11.405,15.835,22.994,25.623,24.917,28.028,31.465,34.58,38.984,48.719,52.193,50.513,49.656,56.102,50.28,55.221
EBITDA (M),35.806,42.358,64.312,82.855,92.337,62.068,98.808,98.802,111.209,98.54,128.646,160.535,205.537,248.264,289.035,318.841
R&D Expense (M),,,,,,,,,,,,,,,,
SBC (M),7.093,8.491,9.462,9.416,11.832,11.011,16.047,19.77,23.041,23.901,26.07,28.235,38.621,49.366,58.437,72.658
Interest Expense (M),,,,,0.564,0.369,1.338,1.343,1.889,7.227,13.612,11.19,7.561,8.252,13.18,
Income Tax (M),3.703,5.497,11.868,14.884,16.88,5.193,24.211,22.151,36.146,3.397,15.172,25.626,31.85,47.565,53.536,62.936
Effective Tax Rate (%),18.994614003590666,17.13048085013556,25.44160521351398,26.241184767277858,25.978423134339845,13.797226207556193,31.9507495777027,26.4067044966859,42.50770280123245,5.626967036607587,18.2575210589651,22.21990999661837,21.731565696194757,25.0211731781861,22.499695302617035,24.081393702625245
EPS Diluted ($),0.53,0.88,1.1,1.26,1.42,0.96,1.51,1.79,1.39,1.62,1.95,2.59,3.35,4.23,1.1,1.21
Dividends Per Share ($),,,,,,,,,,,,,,,,
Cash from Operations (M),35.695,36.506,56.235,65.782,82.792,66.659,96.691,100.258,113.14,92.435,168.42,202.973,184.387,166.141,211.198,268.525
CapEx (M),11.416,19.86,19.468,18.804,15.916,27.678,25.585,25.85,35.154,40.437,40.138,42.224,37.248,44.836,52.803,46.262
Free Cash Flow (M),24.279,16.646,36.767,46.978,66.876,38.981,71.106,74.408,77.986,51.998,128.282,160.749,147.139,121.305,158.395,222.263
FCF to Profit Margin (%),150.0,62.597773766546325,105.71305347901092,112.29084998565828,139.04401521924444,120.14486053321005,137.8958595946863,120.53196831516368,150.0,91.6651976166132,150.0,150.0,128.21676920127572,84.84765821722343,85.82396861691176,112.08591153673531
Buyback (M),0.073,0.093,1.624,0.331,21.618,3.322,14.195,18.203,43.454,43.109,41.364,79.949,118.357,72.642,131.847,207.926
Dividends Paid (M),,,,,,,,,,,,,,,,
Cash (B),,,0.132215,0.111182,0.082393,0.103037,0.148065,0.176499,0.213155,0.086795,0.095881,0.119165,0.21853,0.135337,0.118669,0.153355
