,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Current
Year-End Price ($),18.15,21.48,22.37,26.5,27.62,28.71,44.93,50.44,60.35,52.62,69.46,85.13,144.77,169.43,30.85,44.38,31.7
Market Cap (B),,,0.6973414381125259,0.853401260711956,0.8885957214599705,0.9447159745157934,1.48678865948864,1.6962018679896116,2.045184984839897,1.8007867158406448,2.374504928885622,2.8569145453667164,4.819607927878094,5.630912110621033,5.098822661048508,7.18073796138234,5.119967232
Enterprise Value (B),,,0.5651264381125259,0.742219260711956,0.8062027214599705,0.8916789745157934,1.4087236594886399,1.5647028679896116,1.8430569848398972,1.9986557158406448,2.569357928885622,2.9897105453667163,5.121109927878094,5.745575110621033,5.180153661048507,7.32075296138234,5.077204992
Trailing P/E,34.245284098499226,24.409090930765327,20.336363532326438,21.03174678863041,19.45070481636155,29.906250536441803,29.754967089520385,28.17877178085583,43.41726508929575,32.481481999526785,35.62051332913912,32.86872407184144,43.214926079138,40.05437539824357,28.045454892245203,36.67768683315309,21.418919
P/S,,,1.934152948243129,1.9267181286251913,1.8572306552380813,1.892164234185751,2.3656445260856778,2.4726407283940994,2.6828783366870397,2.0391374093440526,2.395233277670583,2.980815106065432,4.294429287073958,3.9877738304337775,3.126830636922113,3.906030967281018,2.5265198
P/B,,,2.5043506173865726,2.4772745396466567,2.4267034837535446,2.2538421657603895,3.193329480507912,3.188439275523956,3.409658856291956,2.913569060801698,3.544031917692096,3.972505249601926,6.95313598652842,7.426890101969367,5.732640604167027,7.722369514382069,5.288622
EV/Revenue,,,1.5674401472024706,1.6757032955815954,1.6850232028708636,1.785936841831191,2.2414345122748416,2.280947870793092,2.417726364392304,2.2631961923749704,2.591787255797292,3.119370290877323,4.563077492132709,4.068977390662779,3.1767065160097014,3.982193463228519,2.505
EV/EBITDA,,,8.78726268989498,8.95805033748061,8.731090694520837,14.366162507504566,14.25718220679135,15.83675298060375,16.57291212797433,20.28268434991521,19.97231106202775,18.623418851756416,24.915756909354975,23.14300547248507,17.92223661857044,22.960513112750053,14.404
Dividend Yield (%),,,,,,,,,,,,,,,,,
SBC/Revenue (%),3.7137097829786123,3.3594062187194615,2.6243894591738526,2.125843812792089,2.4729753454892025,2.205384575326772,2.5532544566995283,2.8819746118007896,3.02252364523619,2.7064517297919175,2.6297579250836742,2.9459514165816323,3.4412582097544933,3.496066694805544,3.5836233985090775,3.9523012752587614,
FCF Yield (%),,,5.272453061088149,5.504796180030045,7.52603218594415,4.126213703539776,4.782522354216497,4.386742014863511,3.8131514057690468,2.8875157475673765,5.402473519404484,5.626664621827746,3.0529246818792624,2.1542691062642296,3.1065014519926075,3.0952668262693837,
Adjusted FCF Yield (%),,,3.915585466124839,4.401446509308369,6.1944930265433005,2.96067820958948,3.7032163010267225,3.221196782713048,2.6865540480340093,1.5602625093157538,4.3045604478053905,4.638360647325221,2.2515939392558995,1.277572773055871,1.9604133472538718,2.083420963201393,
Shareholder Yield (%),,,,,,,,,,,,,,,,,
Forward P/E,,,,,,,,,,,,,,,,,14.455348
PEG Ratio,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,0.876
52-Week High ($),,,,,,,,,,,,,,,,,52.07
52-Week Low ($),,,,,,,,,,,,,,,,,31.01
Forward EPS ($),,,,,,,,,,,,,,,,,2.19296
Trailing EPS ($),,,,,,,,,,,,,,,,,1.48
Revenue Growth (%),,,,,,,,,,,,,,,,,12.2
Earnings Growth (%),,,,,,,,,,,,,,,,,9.8
Analyst Target Mean ($),,,,,,,,,,,,,,,,,52.14286
Analyst Target High ($),,,,,,,,,,,,,,,,,56.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,49.0
Analyst Recommendation,,,,,,,,,,,,,,,,,buy
Number of Analysts,,,,,,,,,,,,,,,,,7.0
Short Ratio,,,,,,,,,,,,,,,,,6.49
Debt/Equity,,,,,,,,,,,,,,,,,45.835
