,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Revenue (M),,,,,20880.0,18010.0,20921.0,20001.0,14607.0,14564.0,15888.0,18945.0,14348.0,13894.0,22422.0,23271.0,22703.0,25169.0
Gross Margin (%),,,,,,,,,,,,,,,,,,
Operating Income (M),6555.0,-12710.0,6503.0,9068.0,9140.0,5814.0,5351.0,97.0,-13382.0,-2792.0,3633.0,4754.0,1091.0,2437.0,8366.0,7037.0,6225.0,6864.0
Operating Margin (%),,,,,43.77394636015325,32.28206551915602,25.577171263323933,0.48497575121243935,-91.61360991305538,-19.1705575391376,22.86631419939577,25.09369226708894,7.60384722609423,17.539945300129553,37.31156899473731,30.239353702032574,27.419283795093158,27.271643688664625
Net Income (M),3779.0,-10450.0,3534.0,5544.0,5747.0,3980.0,3441.0,-745.0,-12089.0,-4025.0,2095.0,2894.0,-189.0,865.0,5365.0,4479.0,3751.0,4399.0
Net Profit Margin (%),,,,,27.523946360153257,22.098833981121597,16.447588547392574,-3.7248137593120347,-82.76168960087628,-27.636638286185118,13.186052366565962,15.275798363684348,-1.3172567605241148,6.225708939110407,23.927392739273927,19.247131623050148,16.522045544641678,17.477849735786087
D&A (M),,,,,,,,3863.0,3497.0,2610.0,1714.0,1754.0,1412.0,1528.0,1998.0,2019.0,2068.0,2241.0
EBITDA (M),6555.0,-12710.0,6503.0,9068.0,9140.0,5814.0,5351.0,3960.0,-9885.0,-182.0,5347.0,6508.0,2503.0,3965.0,10364.0,9056.0,8293.0,9105.0
R&D Expense (M),,,,,,,,,,,,,,,,,,
SBC (M),144.0,98.0,102.0,121.0,117.0,100.0,173.0,106.0,85.0,86.0,71.0,76.0,63.0,99.0,98.0,95.0,109.0,109.0
Interest Expense (M),,,586.0,462.0,312.0,,,,,,,,,,,,,
Income Tax (M),2400.0,-2844.0,2307.0,2983.0,3087.0,1510.0,1475.0,324.0,-1935.0,371.0,883.0,991.0,510.0,944.0,2299.0,2267.0,2270.0,2523.0
Effective Tax Rate (%),39.27344133529701,21.36899842212037,39.666437414030256,35.044642857142854,35.00793830800635,27.519591762347368,30.02238957866884,-76.41509433962264,13.800727480208257,-10.685483870967742,30.427291523087526,25.46248715313463,166.66666666666669,52.5319977740679,30.016973495234367,33.7602382725242,37.7955377955378,36.528159837845664
EPS Diluted ($),7.5,-29.72,2.93,4.57,4.78,3.19,2.64,-1.26,-11.31,-3.16,1.25,1.78,-0.17,0.41,2.9,,,
Dividends Per Share ($),1.375,1.375,0.075,1.125,1.5,1.25,2.25,1.25,0.2605,0.0,0.0,0.2,0.2,0.0,0.375,0.15,0.6,0.6
Cash from Operations (M),6225.0,3370.0,4397.0,6273.0,6620.0,3774.0,6139.0,5631.0,3220.0,3729.0,4682.0,3863.0,1482.0,3017.0,7715.0,5139.0,5279.0,7160.0
CapEx (M),,,,,2534.0,3494.0,5286.0,7215.0,6353.0,2813.0,1410.0,1971.0,2652.0,1961.0,2115.0,3469.0,4824.0,4808.0
Free Cash Flow (M),,,,,4086.0,280.0,853.0,-1584.0,-3133.0,916.0,3272.0,1892.0,-1170.0,1056.0,5600.0,1670.0,455.0,2352.0
FCF to Profit Margin (%),,,,,71.09796415521141,7.035175879396985,24.789305434466723,,25.916122094466044,-22.757763975155278,150.0,65.37664132688322,,122.08092485549133,104.38024231127679,37.28510828309891,12.13009864036257,53.466696976585595
Buyback (M),0.0,500.0,0.0,0.0,,,,,,,,,0.0,0.0,488.0,1347.0,0.0,59.0
Dividends Paid (M),421.0,693.0,0.0,885.0,1423.0,1129.0,2281.0,1305.0,605.0,6.0,2.0,218.0,291.0,73.0,331.0,866.0,863.0,865.0
Cash (B),,,1.626,0.872,2.656,2.656,3.705,3.705,3.705,0.298,4.447,4.217,2.02,3.657,8.068,8.146,4.758,
Total Cash (B),,,1.626,0.872,2.656,2.656,3.705,3.705,3.705,0.298,4.447,4.217,2.02,3.657,8.068,8.146,4.758,
Total Debt (B),,,6.346,4.755,3.537,3.527,20.706,18.97,18.849,3.46,3.642,11.124,9.831,9.745,9.822,11.657,10.188,
Total Assets (B),,,23.353,25.996,29.386,32.07,35.44,63.473,63.385,46.577,37.317,37.302,42.216,40.809,42.144,48.022,51.093,
Accounts Receivable (B),,,1.517,2.132,0.892,0.927,1.728,0.953,0.953,1.126,1.246,0.829,0.741,0.892,1.168,1.336,1.209,
Stockholders Equity (B),,,9.119,12.504,15.642,17.543,20.934,18.287,18.287,6.051,7.977,9.798,9.298,10.174,13.98,15.555,16.693,
Shares Outstanding (M),397.0,382.0,938.0,949.0,955.0,954.0,1006.0,1039.0,1082.0,1318.0,1454.0,1458.0,1451.0,1461.0,1482.0,1451.0,1443.0,1445.0
ROE (%),,,38.75424936944841,44.33781190019194,36.74082598133231,22.687111668471754,16.43737460590427,-4.0739323016350415,-66.10707059659867,-66.517930920509,26.26300614266015,29.536640130638908,-2.0326952032695202,8.50206408492235,38.37625178826896,28.794599807135967,22.470496615347752,
ROA (%),,,15.132959362822765,21.326357901215573,19.556931872320153,12.410352354225132,9.709367945823928,-1.1737274116553496,-19.072335726118165,-8.641604225261396,5.614063295548945,7.758297142244383,-0.44769755542922113,2.119630473670024,12.730163249810175,9.326975136395818,7.341514493179105,
ROIC (%),,,28.35097604570859,35.94405190525591,35.95154898413254,22.88482097826178,9.870836783037909,0.51002217903384,-34.50446187250914,-33.54324009201584,35.242282473037235,21.212291893085776,-4.251173846123873,7.11348674361066,37.21100799153866,24.44819066800835,17.503176658806545,
Revenue Tag,,,,,SalesRevenueNet,SalesRevenueNet,SalesRevenueNet,Revenues,Revenues,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax
Net Income Tag,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss,ProfitLoss
