,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Current
Year-End Price ($),102.44,24.44,80.29,120.09,36.79,34.2,37.74,23.36,6.77,13.19,18.96,10.31,13.12,26.02,41.73,38.0,42.57,38.08,63.26
Market Cap (B),40.66868096923828,9.33608020401001,75.31202085876465,113.9654065246582,35.134450874328614,32.62680072784424,37.9664416885376,24.271040634155273,7.325139979362488,17.38441944694519,27.567838668823242,15.031980611801147,19.037119833946228,38.01522066879272,61.84385932159424,55.138,61.42850955963135,55.025602645874024,90.836967424
Enterprise Value (B),40.66868096923828,9.33608020401001,80.03202085876465,117.8484065246582,36.015450874328614,33.497800727844236,54.9674416885376,39.53604063415527,22.469139979362488,20.54641944694519,26.762838668823242,21.93898061180115,26.848119833946228,44.10322066879272,63.597859321594235,58.649,66.85850955963134,55.025602645874024,107.4860032
Trailing P/E,13.6586669921875,,27.40273068789329,26.277898542208014,7.696652911198188,10.721003373962212,14.295455181237422,,,,15.167999267578125,5.792135067200393,,63.46341575064311,14.389655014564251,,,,41.61842
P/S,,,,,1.6826844288471559,1.8115935995471537,1.8147527215973231,1.2134913571399066,0.5014814800686307,1.1936569243988733,1.7351358678765887,0.7934537140037555,1.3268134815964754,2.7360890073983537,2.758177652376873,2.369386790425852,2.705744155381727,2.1862450890330973,3.5051887
P/B,,,8.25880259444727,9.114315940871577,2.2461610327533954,1.8598187726069793,1.8136257613708606,1.3272292138762658,0.4005654278647393,2.872982886621251,3.45591559092682,1.5341886723618237,2.047442442885161,3.7365068477287915,4.423738148898014,3.54471231115397,3.6798963373648443,,4.686273
EV/Revenue,,,,,1.724877915437194,1.8599556206465429,2.6273811810399885,1.9767031965479362,1.5382446757967063,1.4107676082769287,1.6844686976852494,1.1580353978253444,1.8712099131548807,3.1742637590897314,2.836404393969951,2.5202612693910877,2.9449195947509734,2.1862450890330973,4.148
EV/EBITDA,6.204222878602331,,12.306938468209234,12.996074826274615,3.940421321042518,5.761575632584148,10.272368097278564,9.983848644988706,,,5.005206408981343,3.371078766410748,10.726376282040043,11.12313257724911,6.13642023558416,6.4762588339222615,8.062041427665664,6.043448945181112,12.2
Dividend Yield (%),1.3422490894477224,5.626022790318317,0.09341138266881709,0.9367974305159019,4.077194788453838,3.6549706786982066,5.961843931988418,5.351027257448295,3.8478582087728324,0.0,0.0,1.9398641305529212,1.5243902571991328,0.0,0.8986340860618749,0.39473684210526316,1.409443280012402,1.5756301763375784,94.0
SBC/Revenue (%),,,,,0.5603448275862069,0.5552470849528041,0.8269203192964006,0.5299735013249337,0.5819127815430958,0.5904971161768745,0.4468781470292045,0.4011612562681446,0.4390855868413716,0.7125377860947172,0.437070734100437,0.4082334235744059,0.4801127604281373,0.4330724303706941,
FCF Yield (%),,,,,11.629611103401313,0.8581901803232687,2.24672095161746,-6.5262961892574385,-42.770513721604914,5.269085935227825,11.868902888278795,12.586498405370804,-6.145887666860735,2.777834723623968,9.055062315693206,3.0287641916645507,0.740698420426938,4.274373903974607,
Adjusted FCF Yield (%),,,,,11.296604618061627,0.5516936873506727,1.7910553893316212,-6.963030656467847,-43.930901103135845,4.774390094147484,11.611356401399883,12.080909674499674,-6.476820079691698,2.517412718284221,8.896598725168575,2.856469222677645,0.5632563812477375,4.076284297030205,
Shareholder Yield (%),1.0351946263475909,12.778382082531655,0.0,0.7765514352010988,,,,,,,,,1.5285925735525416,0.19202834737173266,1.3243028636701313,4.013565961768653,1.4048851358866976,1.6792183194185955,
Forward P/E,,,,,,,,,,,,,,,,,,,19.032547
PEG Ratio,,,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,,,1.434
52-Week High ($),,,,,,,,,,,,,,,,,,,69.44
52-Week Low ($),,,,,,,,,,,,,,,,,,,27.66
Forward EPS ($),,,,,,,,,,,,,,,,,,,3.32378
Trailing EPS ($),,,,,,,,,,,,,,,,,,,1.52
Revenue Growth (%),,,,,,,,,,,,,,,,,,,-1.5
Earnings Growth (%),,,,,,,,,,,,,,,,,,,47.699999999999996
Analyst Target Mean ($),,,,,,,,,,,,,,,,,,,61.47
Analyst Target High ($),,,,,,,,,,,,,,,,,,,71.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,,,30.0
Analyst Recommendation,,,,,,,,,,,,,,,,,,,buy
Number of Analysts,,,,,,,,,,,,,,,,,,,20.0
Short Ratio,,,,,,,,,,,,,,,,,,,1.92
Debt/Equity,,,,,,,,,,,,,,,,,,,33.768
