,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Current
Year-End Price ($),1120.71,530.66,778.01,792.45,1053.4,1044.96,1339.39,1752.64,2897.04,88.23,139.69,189.3,313.0,322.86
Market Cap (B),,,529.1806347409058,547.8151568369293,731.8843867562866,726.8282130432129,921.9489837203979,1183.4211371832275,1918.1910881167603,1133.6673131332398,1740.537430419922,2311.542337265015,,3905.637318656
Enterprise Value (B),,,519.6276347409057,533.4031568369293,719.2783867562866,627.6242130432129,806.2319837203979,1060.6591371832276,1793.3590881167602,1033.8033131332397,1643.0834304199218,2228.8023372650146,,3845.790367744
Trailing P/E,59.64395879772891,25.797764653422384,,28.45422001672604,58.52222018771701,23.912128649259866,27.2455238733377,29.903430740208048,25.820321747750945,19.348684946695965,24.0844831795528,23.544776498974855,28.954671600370027,29.839186
P/S,,,7.05677679047468,6.068494736318342,6.60217749994395,5.312333908618049,5.696071122783679,6.483540173142754,7.4453245772802825,4.00821434730105,5.662236186847895,6.604067040166548,,9.6953535
P/B,,,7.393888986180044,5.274553791998164,6.082259656749189,5.2276260324175965,6.045487821277084,6.6623569323711775,9.52229966003495,5.0941266137628505,6.916913109940675,9.024386037795203,,9.398305
EV/Revenue,,,6.92938477297878,5.908843903280411,6.488461384297385,4.587259174845693,4.981137570326881,5.810971183349464,6.960797898270669,3.6551334099380552,5.345203323486866,6.367679197255612,,9.547
EV/EBITDA,,,26.840270389509595,22.491278328425086,27.510073692200972,23.844998785882485,23.552685686085653,25.729165951465834,20.153045816993046,11.705598164942646,17.07294787373021,17.453288049937075,,25.609
Dividend Yield (%),,,,,,,,,,,,0.3169572056667901,0.26517571884984026,26.0
SBC/Revenue (%),6.021362056233001,6.483235102498447,6.938350958140527,7.42533676001418,6.927066889179559,6.836038854252699,6.668849663591936,7.117303193500139,5.968086881930779,6.845663211189523,7.306583732929075,6.5096652172174005,6.194332184809699,
FCF Yield (%),,,3.04414011822016,4.713998814692736,3.2664995226849807,3.1413199969774075,3.359404972172838,3.6202665859065752,3.493499704755222,5.293440086416872,3.992732289775213,3.1478549549775225,,
Adjusted FCF Yield (%),,,2.0609219771127356,3.4904109098412253,2.2172900930326627,1.8544959810467097,2.1886243551757567,2.522517053485589,2.691911161504516,3.5855316219408935,2.702326257278612,2.1621494529550547,,
Shareholder Yield (%),,,0.3452507291568832,0.6741324977795954,0.662126435225307,,,,,5.230458646295198,3.533621220955964,3.0103277313247063,,
Forward P/E,,,,,,,,,,,,,,24.231897
PEG Ratio,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,1.086
52-Week High ($),,,,,,,,,,,,,,349.0
52-Week Low ($),,,,,,,,,,,,,,140.53
Forward EPS ($),,,,,,,,,,,,,,13.32376
Trailing EPS ($),,,,,,,,,,,,,,10.82
Revenue Growth (%),,,,,,,,,,,,,,18.0
Earnings Growth (%),,,,,,,,,,,,,,31.1
Analyst Target Mean ($),,,,,,,,,,,,,,367.77072
Analyst Target High ($),,,,,,,,,,,,,,432.0
Analyst Target Low ($),,,,,,,,,,,,,,185.0
Analyst Recommendation,,,,,,,,,,,,,,strong_buy
Number of Analysts,,,,,,,,,,,,,,56.0
Short Ratio,,,,,,,,,,,,,,2.91
Debt/Equity,,,,,,,,,,,,,,16.133
