,2019,2020,2021,2022,2023,2024,Current
Year-End Price ($),,,17.76,8.14,12.74,37.26,77.3
Market Cap (B),,,8.74469004709711,7.152048697013679,11.349526371758863,33.763948718061215,69.507301376
Enterprise Value (B),,,7.34206104709711,0.8990486970136795,5.010526371758863,29.431948718061218,73.740566528
Trailing P/E,,,,,,23.88461430867513,32.208332
P/S,,,4.8176314742679285,5.26660434242539,6.0855369285570315,11.441527861084792,16.533611
P/B,,,,,1.5562219075495494,5.0424057225300505,8.108675
EV/Revenue,,,4.044894009506199,0.6620388048701616,2.6866093146160126,9.97355090412105,17.541
EV/EBITDA,,,287.9804293821185,14.738503229732451,70.5707939684347,382.2331002345613,
Dividend Yield (%),,,,,,,
SBC/Revenue (%),9.608587086941013,2.53745959932543,86.5158282295114,48.15905743740795,46.702412868632706,10.301592680447307,
FCF Yield (%),,,-10.840349913999335,-12.304166781854294,,,
Adjusted FCF Yield (%),,,-28.79851643039068,-21.448399822005097,,,
Shareholder Yield (%),,,,,,,
Forward P/E,,,,,,,28.49381
PEG Ratio,,,,,,,
Beta,,,,,,,2.44
52-Week High ($),,,,,,,153.86
52-Week Low ($),,,,,,,29.66
Forward EPS ($),,,,,,,2.71287
Trailing EPS ($),,,,,,,2.4
Revenue Growth (%),,,,,,,100.0
Earnings Growth (%),,,,,,,259.5
Analyst Target Mean ($),,,,,,,138.5281
Analyst Target High ($),,,,,,,180.0
Analyst Target Low ($),,,,,,,90.0
Analyst Recommendation,,,,,,,buy
Number of Analysts,,,,,,,21.0
Short Ratio,,,,,,,1.58
Debt/Equity,,,,,,,188.794
