,2023,2024,2025,Current
Year-End Price ($),7.15,9.82,37.77,42.59
Market Cap (B),0.3916467678738246,0.9784738039920043,8.431988340463748,14.12962304
Enterprise Value (B),0.3916467678738246,0.9784738039920043,7.867462340463749,14.84675584
Trailing P/E,,,96.84615501990685,29.576387
P/S,5.186756120115809,5.2271133595025665,16.829543435059367,18.662773
P/B,,,7.683108109885135,5.6268992
EV/Revenue,5.186756120115809,5.2271133595025665,15.702796758759076,19.61
EV/EBITDA,,42.110251505939246,39.64196016619596,76.43
Dividend Yield (%),0.0,0.0,0.0,
SBC/Revenue (%),19.012303169158642,12.626607974699775,8.510986521576854,
FCF Yield (%),-28.17206959194062,-9.160797114271285,2.4910613193334625,
Adjusted FCF Yield (%),-31.837617523801764,-11.576395764288199,1.9853443012563865,
Shareholder Yield (%),,,,
Forward P/E,,,,-210.27945
PEG Ratio,,,,
Beta,,,,4.281
52-Week High ($),,,,76.87
52-Week Low ($),,,,5.125
Forward EPS ($),,,,-0.20254
Trailing EPS ($),,,,1.44
Revenue Growth (%),,,,59.0
Earnings Growth (%),,,,
Analyst Target Mean ($),,,,79.30769
Analyst Target High ($),,,,125.0
Analyst Target Low ($),,,,37.0
Analyst Recommendation,,,,buy
Number of Analysts,,,,13.0
Short Ratio,,,,0.98
Debt/Equity,,,,153.017
