,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Revenue (M),41862.0,42731.0,45189.0,45803.0,46499.0,47182.0,45358.0,45600.0,46132.0,47290.0,49960.0,53762.0,59812.0,65398.0,67044.0,65984.0,67571.0,71043.0,75048.0
Gross Margin (%),10.114184702116479,10.87968921860008,9.347407554935936,8.374997270921119,7.965762704574292,8.893221991437413,9.231006658141894,11.524122807017543,11.272002080985,10.704165785578347,11.104883907125702,13.530002604069788,13.988831672574065,13.23282057555277,13.515005071296462,12.559105237633366,12.5482825472466,9.754655631096659,10.152169278328536
Operating Income (M),4527.0,5131.0,4466.0,4097.0,3980.0,4434.0,4505.0,5592.0,5436.0,5549.0,5921.0,7334.0,8545.0,8644.0,9123.0,8348.0,8507.0,7013.0,7731.0
Operating Margin (%),10.814103482872294,12.007675926142614,9.882936112770807,8.944828941335722,8.55932385642702,9.397651646814463,9.932095771418494,12.263157894736842,11.783577560045087,11.733981814337069,11.851481184947959,13.641605595029946,14.286430816558552,13.217529588060797,13.60748165383927,12.651551891367605,12.589720442201536,9.871486282955393,10.301407099456346
Net Income (M),3033.0,3217.0,3024.0,2926.0,2655.0,2745.0,2981.0,3614.0,3605.0,5302.0,2002.0,5046.0,6230.0,6833.0,6315.0,5732.0,6920.0,5336.0,5017.0
Net Profit Margin (%),7.245234341407482,7.5284921953616815,6.6918940450109545,6.388227845337642,5.70980021075722,5.817896655504217,6.572159266281583,7.925438596491229,7.8145322119136384,11.211672658067243,4.007205764611689,9.385811539749266,10.415970039456965,10.448331753264625,9.41918739931985,8.686954413191076,10.24107975314854,7.510944076122912,6.685054898198486
D&A (M),666.0,727.0,1014.0,1052.0,1008.0,988.0,990.0,994.0,1026.0,1167.0,1195.0,1161.0,1189.0,1290.0,1079.0,1156.0,1430.0,1559.0,1687.0
EBITDA (M),5193.0,5858.0,5480.0,5149.0,4988.0,5422.0,5495.0,6586.0,6462.0,6716.0,7116.0,8495.0,9734.0,9934.0,10202.0,9504.0,9937.0,8572.0,9418.0
R&D Expense (M),,698.0,724.0,638.0,585.0,616.0,697.0,751.0,839.0,988.0,1200.0,1300.0,1300.0,1300.0,1500.0,1700.0,1500.0,1600.0,2000.0
SBC (M),149.0,155.0,154.0,168.0,157.0,167.0,189.0,164.0,138.0,149.0,158.0,173.0,189.0,221.0,227.0,238.0,265.0,277.0,304.0
Interest Expense (M),352.0,341.0,305.0,345.0,354.0,383.0,350.0,340.0,443.0,663.0,651.0,668.0,653.0,591.0,569.0,623.0,916.0,,
Income Tax (M),1335.0,1485.0,1260.0,1181.0,964.0,1327.0,1205.0,1644.0,1418.0,1133.0,3340.0,792.0,1011.0,1347.0,1235.0,948.0,1178.0,884.0,905.0
Effective Tax Rate (%),,,30.129124820659968,31.259925886712548,26.549160011016248,32.588408644400786,29.001203369434414,31.266641308482313,28.230141349790962,23.188702415063446,63.389637502372366,13.566289825282633,13.962159922662615,16.357012750455375,16.357615894039736,14.191616766467066,14.546801679427018,14.212218649517686,15.281999324552517
EPS Diluted ($),7.1,7.86,7.78,7.94,7.81,8.36,9.13,11.21,11.46,17.49,6.89,17.59,21.95,24.3,22.76,21.66,27.55,22.31,21.49
Dividends Per Share ($),1.47,1.83,2.34,2.64,3.25,4.15,4.78,5.49,6.15,6.77,7.46,8.2,9.0,9.8,10.6,11.4,12.15,12.75,13.35
Cash from Operations (M),4238.0,4421.0,3173.0,3547.0,4253.0,1561.0,4546.0,3866.0,5101.0,5189.0,6476.0,3138.0,7311.0,8183.0,9221.0,7802.0,7920.0,6972.0,8557.0
