,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Current
Year-End Price ($),105.26,84.08,75.35,69.91,80.9,92.29,148.66,192.57,217.15,249.94,321.05,261.84,389.38,354.98,355.41,486.49,453.24,485.94,483.67,638.265
Market Cap (B),,,,,,,47.42254116821289,60.466982299804684,65.79644815063476,72.2326607055664,92.78344647216797,,,,,123.56845751953125,108.77759765625,113.70996057128906,,147.693109248
Enterprise Value (B),,,,,,,49.99254116821289,64.73798229980468,78.44044815063477,85.0686607055664,105.61944647216797,,,,,136.68645751953125,124.96259765625,132.13996057128907,,162.123431936
Trailing P/E,14.825352413553588,10.697201250770316,9.685089778164665,8.804786355429393,10.358514920086929,11.039473793723367,16.282585286101792,17.178412785389717,18.948516046813644,14.290451826266796,46.59651491915367,14.885730320516807,17.73940796732631,14.608230904787165,15.615553763713065,22.46029502467105,16.45154229525862,21.781264116602703,22.50674794917331,29.672943
P/S,,,,,,,1.0455165829228117,1.326030313592208,1.4262648086064937,1.5274404885930726,1.857154653165892,,,,,1.8727033450462423,1.6098266661178613,1.6005793754668167,,1.9679819
P/B,,,,,,,47.37516600221068,1550.4354435847356,19.351896514892577,47.80454050666208,61.40532526285107,,,,,11.275523087830209,11.73943423874919,12.271741913586128,,21.74742
EV/Revenue,,,,,,,1.1021769294989394,1.4196925942939624,1.7003478745910596,1.7988720808958851,2.114080193598238,,,,,2.0715091161422654,1.849352498205591,1.8599997265218116,,2.16
EV/EBITDA,,,,,,,9.097823688482782,9.8296359398428,12.138726114304358,12.666566513634068,14.842530420484538,,,,,14.381992584125763,12.575485323160914,15.415301046580618,,19.568
Dividend Yield (%),1.3965418679143522,2.17649852538906,3.1055076939433133,3.7762835956349083,4.017305239432369,4.496695155305588,3.2153907454923143,2.8509112484774493,2.832143759088343,2.7086500495602337,2.3236256918379423,3.1316835146217823,2.3113667592429747,2.7607188282997273,2.9824709183136804,2.3433164564203786,2.680699025193499,2.6237807004862437,2.760146304169141,221.0
SBC/Revenue (%),0.35593139362667814,0.3627343146661674,0.3407909004403727,0.36678820164618037,0.3376416697133272,0.35394853969734225,0.4166850390228846,0.35964912280701755,0.29914159368767884,0.3150771833368577,0.3162530024019215,0.3217886239351215,0.3159901023206046,0.3379308235725863,0.3385836167293121,0.36069350145489815,0.3921800772520756,0.3899047056008333,0.4050740859183456,
FCF Yield (%),,,,,,,7.823283840569041,4.996115045102488,6.325569414433274,5.712097491214306,5.711148056555033,,,,,4.962431451433125,5.7263629039541515,4.649548705704968,,
Adjusted FCF Yield (%),,,,,,,7.424739192087222,4.724892646096593,6.1158316491301035,5.505819612835505,5.540859059964035,,,,,4.7698256645053565,5.482746565930737,4.405946475426875,,
Shareholder Yield (%),,,,,,,6.962933488290829,6.052890124155943,7.603753911679401,5.737016966454697,4.487869505094387,,,,,8.833969622283758,8.32524361184922,5.944070304872305,,
Forward P/E,,,,,,,,,,,,,,,,,,,,20.086918
PEG Ratio,,,,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,,,,0.23
52-Week High ($),,,,,,,,,,,,,,,,,,,,646.59
52-Week Low ($),,,,,,,,,,,,,,,,,,,,410.11
Forward EPS ($),,,,,,,,,,,,,,,,,,,,31.77516
Trailing EPS ($),,,,,,,,,,,,,,,,,,,,21.51
Revenue Growth (%),,,,,,,,,,,,,,,,,,,,9.1
Earnings Growth (%),,,,,,,,,,,,,,,,,,,,161.0
Analyst Target Mean ($),,,,,,,,,,,,,,,,,,,,657.579
Analyst Target High ($),,,,,,,,,,,,,,,,,,,,740.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,,,,517.0
Analyst Recommendation,,,,,,,,,,,,,,,,,,,,hold
Number of Analysts,,,,,,,,,,,,,,,,,,,,19.0
Short Ratio,,,,,,,,,,,,,,,,,,,,1.39
Debt/Equity,,,,,,,,,,,,,,,,,,,,338.804
