,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Current
Year-End Price ($),19.44,30.48,27.91,25.96,26.71,37.41,46.45,55.48,62.14,85.54,101.57,157.7,222.42,336.32,239.82,376.04,421.5,483.62,401.14
Market Cap (B),,,255.4044086036682,231.25167184448242,231.52227206420898,324.2698786773682,389.29745639419554,464.9778761634827,511.97145497131345,686.629587348938,793.0585576171875,1215.5515764770507,1707.5183259429932,2570.493815979004,1815.67727545166,2827.4448242492676,3169.2585,3595.231043701172,2981.424267264
Enterprise Value (B),,,251.0654086036682,237.07567184448243,237.917272064209,331.89587867736816,404.95945639419557,480.63987616348265,557.0064549713135,767.206587348938,862.7485576171875,1281.9115764770509,1761.0183259429932,2622.4878159790037,1854.2762754516602,2845.2248242492674,3181.7915,3611.139043701172,3012.532895744
Trailing P/E,10.395722210725998,18.814814532244647,13.29047611781529,9.650557280473107,13.354999542236328,14.499999940857407,17.661597248265952,37.486486177186706,29.590475899832587,31.564575983589425,47.68544586611466,31.16600730202415,38.614583015441895,41.77888289741848,24.851814230488987,38.84710832075639,35.720338983050844,35.45601137222782,25.118347
P/S,,,4.087516941995842,3.3062875748035174,3.1404347634280887,4.165369865731971,4.483289260928398,4.968774056032086,5.616555005499632,7.110101245186836,7.1861050889560305,9.659270491620914,11.939435205698656,15.29254804613657,9.157599613918698,13.342353416460693,12.929310710584934,12.76153626847969,9.760664
P/B,,,6.456454032146929,5.00815748445008,4.055888304122226,5.68067338222182,4.9313115169512,5.889971070169774,6.393010438811152,9.53691941815545,9.04172290382264,14.695127740963887,16.6863903639499,21.72786901524043,12.787540323489733,16.97736801677215,19.02978527938898,10.467105830927574,7.6240616
EV/Revenue,,,4.018075164900906,3.389555378586598,3.2271783848216837,4.263328734824701,4.663658475397551,5.136138877575151,6.110609023973863,7.944482166995661,7.817583885621489,10.186594220394069,12.313521839967787,15.601874113434652,9.352278587036164,13.426254980767135,12.980440352151174,12.818002881192841,9.863
EV/EBITDA,,,9.694393721664538,8.129888270103303,9.928526147152233,11.302815647642289,12.996548554003516,21.591117926574846,22.207417868244697,26.989607660203266,20.1774769076474,24.343636918229567,27.663304889222154,33.105531912479854,19.318798906594502,28.588615940529,25.52928598364799,23.98981613853351,17.189
Dividend Yield (%),2.26337442341706,1.7060367710289257,1.863131504274142,2.465331365835065,2.995133011685742,2.4592355085605333,2.411194793550148,2.235039672370583,2.3173479468039417,1.8237081871679366,1.6540317072439736,1.1667723751471575,0.9171837140518548,0.6660323356381823,1.0341088834374128,0.7233272891693033,0.7117437722419928,0.686489399429302,91.0
SBC/Revenue (%),2.4478649453823236,2.922805756626795,3.026374751936496,3.0968074003116826,3.043826214342878,3.0905984662616093,2.8169014084507045,2.7505877324214576,2.926914891282884,3.3819676714541633,3.570134106560348,3.6966696598142126,3.6982134741111077,3.6397601256484697,3.7837292580824124,4.53530896821839,4.3790439046678795,4.250259118853913,
FCF Yield (%),,,8.651377680127737,10.654625674044777,12.664440331627485,7.578872296199875,6.870324879009095,4.975720606514526,4.879568920771135,4.569858418299418,4.066786707012393,3.1475422960567676,2.649107732124579,2.183160280376974,3.5881376542422063,2.1034893232900336,2.3371712973239642,1.991833045763836,
Adjusted FCF Yield (%),,,7.910983256108841,9.717983796940146,11.695203126069282,6.836897737904916,6.2420135556689225,4.422145881360291,4.358446117127817,4.094201665346206,3.5699759782008824,2.764835376003028,2.339359958432071,1.9451515381668751,3.1749585005771457,1.7635711074658973,1.9984800861147807,1.658780736901005,
Shareholder Yield (%),,,6.2046697183646025,7.236704438294547,4.929979262139631,3.951955097485408,4.160058005516799,5.231431697504575,5.2688484363862536,3.4418848874902848,2.953123672275525,2.74393951235435,2.231601232095483,1.7080764686950962,2.79956139162206,1.4870316704115925,1.2313605848181837,1.182177153105732,
Forward P/E,,,,,,,,,,,,,,,,,,,21.257565
PEG Ratio,,,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,,,1.084
52-Week High ($),,,,,,,,,,,,,,,,,,,555.45
52-Week Low ($),,,,,,,,,,,,,,,,,,,344.79
Forward EPS ($),,,,,,,,,,,,,,,,,,,18.87046
Trailing EPS ($),,,,,,,,,,,,,,,,,,,15.97
Revenue Growth (%),,,,,,,,,,,,,,,,,,,16.7
Earnings Growth (%),,,,,,,,,,,,,,,,,,,59.8
Analyst Target Mean ($),,,,,,,,,,,,,,,,,,,599.8636
Analyst Target High ($),,,,,,,,,,,,,,,,,,,730.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,,,392.0
Analyst Recommendation,,,,,,,,,,,,,,,,,,,strong_buy
Number of Analysts,,,,,,,,,,,,,,,,,,,53.0
Short Ratio,,,,,,,,,,,,,,,,,,,2.43
Debt/Equity,,,,,,,,,,,,,,,,,,,31.539
