,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Revenue (M),4097.86,3424.859,3424.859,3326.445,3543.309,3997.93,4280.159,4130.162,4681.507,6910.0,9714.0,9714.0,11716.0,10918.0,16675.0,26914.0,26974.0,60922.0
Gross Margin (%),45.61600445110375,34.28663778567235,34.28663778567235,35.38080443235947,39.76762963659111,51.439544964519136,52.015427464260085,54.907361987253765,55.526500334187254,40.68017366136035,41.82623018324068,59.934115709285564,61.206896551724135,61.9893753434695,62.3448275862069,64.92903321691314,56.928894490991325,72.71757329043696
Operating Income (M),836.346,-70.7,-70.7,-98.945,255.747,648.299,648.239,496.227,758.989,747.0,1934.0,3210.0,3804.0,2846.0,4532.0,10041.0,4224.0,32972.0
Operating Margin (%),20.409335604437437,-2.0643185602677363,-2.0643185602677363,-2.974496797632307,7.217744769084492,16.215866711022954,15.145208390622871,12.014710318868849,16.212493113862696,10.81041968162084,19.909409100267656,33.045089561457694,32.46841925571868,26.06704524638212,27.178410794602698,37.307720888756776,15.65952398606065,54.121663766783755
Net Income (M),797.645,-30.041,-30.041,-67.987,253.146,581.09,562.536,439.99,630.587,614.0,1666.0,3047.0,4141.0,2796.0,4332.0,9752.0,4368.0,29760.0
Net Profit Margin (%),19.464915834118298,-0.8771455992786857,-0.8771455992786857,-2.0438335820974043,7.1443388087237105,14.534771744377714,13.142876234270737,10.653093026375236,13.469743823943872,8.885672937771345,17.150504426600783,31.36709903232448,35.3448275862069,25.609085913170908,25.979010494752625,36.23393029649996,16.193371394676355,48.84934834706674
D&A (M),133.192,185.023,185.023,196.664,186.989,204.205,226.235,239.148,220.125,197.0,187.0,199.0,381.0,1098.0,1098.0,1174.0,1544.0,1508.0
EBITDA (M),969.538,114.323,114.323,97.719,442.736,852.504,874.474,735.375,979.114,944.0,2121.0,3409.0,4185.0,3944.0,5630.0,11215.0,5768.0,34480.0
R&D Expense (M),691.637,855.879,855.879,908.851,848.83,1002.605,1147.282,1335.834,1359.725,1331.0,1463.0,1797.0,2376.0,2829.0,3924.0,5268.0,7339.0,8675.0
SBC (M),133.365,162.706,162.706,107.091,100.353,136.354,136.662,136.295,157.841,204.0,247.0,391.0,557.0,844.0,1397.0,2004.0,2709.0,3549.0
Interest Expense (M),0.054,0.406,0.406,3.32,3.127,3.089,3.294,10.443,46.133,47.0,58.0,61.0,58.0,52.0,184.0,236.0,262.0,
Income Tax (M),103.696,-12.913,-12.913,-14.307,18.023,82.306,99.503,70.264,124.249,129.0,239.0,149.0,-245.0,174.0,77.0,189.0,-187.0,4058.0
Effective Tax Rate (%),,30.062392326675045,15.691301917515249,17.385228570734196,6.646408697159337,12.406767601854698,15.029779212402893,13.770396704386442,16.46039669544113,17.362045760430686,12.545931758530186,4.662077596996245,-8.24915824915825,3.9464731231571784,1.7464277613971422,1.9012171813700833,-4.4726142071274815,11.99952687917677
EPS Diluted ($),1.31,-0.05,-0.05,-0.12,0.43,0.94,0.9,0.74,1.12,1.08,2.57,4.82,6.63,4.52,6.9,3.85,1.74,11.93
Dividends Per Share ($),,,,0.0,0.0,0.0,0.075,0.31,0.115,0.395,0.485,0.57,0.61,0.64,0.16,0.16,0.16,0.16
Cash from Operations (M),1270.196,249.36,249.36,487.807,675.797,909.156,824.172,835.146,905.656,1175.0,1672.0,3502.0,3743.0,4761.0,5822.0,9108.0,5641.0,28090.0
CapEx (M),,,77.601,97.89,138.735,,,,,,,,,,976.0,1833.0,1833.0,1069.0
Free Cash Flow (M),,,171.759,389.917,537.062,,,,,,,,,,4846.0,7275.0,3808.0,27021.0
FCF to Profit Margin (%),,,,,150.0,,,,,,,,,,111.86518928901201,74.60008203445447,87.17948717948718,90.79637096774194
Buyback (M),552.512,423.636,423.636,0.0,0.0,0.0,100.0,887.304,813.6,587.0,739.0,909.0,1579.0,0.0,0.0,0.0,10039.0,9533.0
Dividends Paid (M),,,,0.0,0.0,0.0,46.866,181.336,186.452,213.0,261.0,341.0,371.0,390.0,395.0,399.0,398.0,395.0
Cash (B),,,,0.726969,0.447221,0.665361,0.667876,,0.732786,1.152,0.497,0.596,0.782,10.896,0.847,1.99,3.389,7.28
Total Cash (B),,,,2.007975,2.908921,3.660458,4.188099,,4.859471,5.593,5.529,3.702,7.422,10.897,11.561,21.208,13.296,25.984
Total Debt (B),,,,,,,1.356375,,1.384342,1.413,1.983,1.985,1.988,1.991,7.962,10.946,12.203,10.959
Total Assets (B),,,,3.585918,5.552928,6.412245,7.250894,,7.201368,7.37,9.841,11.241,13.292,17.315,28.791,44.187,41.182,65.728
Accounts Receivable (B),,,,0.374963,0.336143,0.454252,0.426357,,0.473637,0.505,0.826,1.265,1.424,1.657,2.429,4.65,3.827,9.999
Stockholders Equity (B),,,,2.617912,2.66514,3.181462,4.145724,,4.827703,4.455,4.418,4.469,5.762,7.471,9.342,12.204,16.893,26.612
Shares Outstanding (M),0.606732,0.548126,0.548126,0.549574,0.588684,616.371,624.957,594.517,563.068,569.0,649.0,632.0,625.0,618.0,628.0,2535.0,2507.0,2494.0
