,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Current
Year-End Price ($),34.02,8.07,18.68,15.4,13.86,12.26,16.02,20.05,32.96,106.74,193.5,133.5,235.3,522.2,294.11,146.14,495.22,134.29,191.585
Market Cap (B),,,,8.646573891217775,8.484973198014178,7.561429902865913,9.099307667846322,,17.96033250078678,57.53285884857178,113.1975022315979,80.90100231170655,142.59180416107176,319.58640747070314,182.34819564819335,366.2268480300903,1221.212504196167,330.89054345703124,4664.520081408
Enterprise Value (B),,,,6.638598891217775,5.576052198014178,3.9009719028659133,6.2675836678463215,,14.485203500786781,53.35285884857178,109.6515022315979,79.18400231170655,137.15780416107177,310.68040747070313,178.74919564819336,355.9648480300903,1220.119504196167,315.86554345703127,4531.7357568
Trailing P/E,25.969465270297217,,,,32.23255900449531,13.042552674070318,17.799999978807236,27.094596141093486,29.428571462631222,98.83333135534215,75.29183027809232,27.697096227115615,35.49019711409579,115.53097615199808,42.62463666390681,37.958442390739144,284.60919171914287,11.25649566522488,47.5397
P/S,,,,2.5993437111444124,2.39464669833034,1.891336242221828,2.125927487237348,,3.8364425175027574,8.326028776927899,11.653026789334763,8.3282893053023,12.170690010333884,29.271515613729907,10.935424026878163,13.607299101957729,45.27368963432072,5.43138018215146,24.925032
P/B,,,,3.302851238398302,3.183687610412278,2.3767154543621496,2.1948657623725847,,3.720264585619037,12.914221963764708,25.621888237120395,18.1027080581129,24.74692887210548,42.77692510650557,19.519181722135876,30.0087551647075,72.29103795632315,12.433884843567986,39.162918
EV/Revenue,,,,1.9957037892458092,1.573684992760772,0.9757479252678044,1.4643343081054514,,3.094132616011635,7.721108371718057,11.28798664109511,8.151534106619986,11.706879836213023,28.455798449414097,10.719591942920141,13.226010553247022,45.23316913309731,5.184753347838733,24.215
EV/EBITDA,,,,67.9355999469681,12.594530822011714,4.575898650171628,7.16726131119544,,14.794195058784556,56.51785894975824,51.69802085412442,23.227926756147415,32.77366885569218,78.77292278668943,31.749413081384255,31.740066699071807,211.53250766230357,9.160833626944061,40.212
Dividend Yield (%),,,,0.0,0.0,0.0,0.46816479456488985,1.5461345750917406,0.34890776658647527,0.37005809247263793,0.2506459898907567,0.4269662799344786,0.25924351134685963,0.1225584038757674,0.054401415735085085,0.10948405398368169,0.0323088732423117,0.11914513962264237,2.0
SBC/Revenue (%),3.25450357015613,4.750735723718845,4.750735723718845,3.219382854669174,2.8321831372877724,3.4106149932590117,3.1929187677373667,3.299991622604634,3.3715852608999626,2.9522431259044866,2.54272184476014,4.025118385834878,4.754182314783202,7.73035354460524,8.377811094452774,7.445938916549008,10.043004374582932,5.825481763566528,
FCF Yield (%),,,,4.509497113024549,6.329566251614017,,,,,,,,,,2.65755303076837,1.9864736949603061,0.31182124216018586,8.166144525526125,
Adjusted FCF Yield (%),,,,3.270960308189387,5.146851849835039,,,,,,,,,,1.8914363192571417,1.4392718688846422,0.08999252760873011,7.093584408539624,
Shareholder Yield (%),,,,0.0,0.0,0.0,1.6140348844228183,,5.568115178024634,1.3905097295888322,0.883411718709161,1.5450982859072964,1.3675400290168704,0.1220327244473787,0.21661854047740534,0.10894886656895698,0.8546424118765389,3.000387951941948,
Forward P/E,,,,,,,,,,,,,,,,,,,24.812983
PEG Ratio,,,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,,,2.314
52-Week High ($),,,,,,,,,,,,,,,,,,,212.19
52-Week Low ($),,,,,,,,,,,,,,,,,,,86.62
Forward EPS ($),,,,,,,,,,,,,,,,,,,7.72116
Trailing EPS ($),,,,,,,,,,,,,,,,,,,4.03
Revenue Growth (%),,,,,,,,,,,,,,,,,,,62.5
Earnings Growth (%),,,,,,,,,,,,,,,,,,,66.7
Analyst Target Mean ($),,,,,,,,,,,,,,,,,,,253.7938
Analyst Target High ($),,,,,,,,,,,,,,,,,,,352.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,,,140.0
Analyst Recommendation,,,,,,,,,,,,,,,,,,,strong_buy
Number of Analysts,,,,,,,,,,,,,,,,,,,58.0
Short Ratio,,,,,,,,,,,,,,,,,,,1.61
Debt/Equity,,,,,,,,,,,,,,,,,,,9.102
