,2018,2019,2020,2021,2022,2023,2024,Current
Year-End Price ($),,,23.55,18.21,6.42,17.17,75.63,135.6598
Market Cap (B),,,42.20488489390603,36.920299683792116,13.476061660146714,37.776197927856444,176.88305942630768,323.336503296
Enterprise Value (B),,,41.32370789390604,34.67482368379211,11.150252660146712,32.33452592785645,171.6530724263077,326.150029312
Trailing P/E,,,,,,190.77777862548828,398.05261712325245,215.33302
P/S,,,38.62535716898471,23.944849262036445,7.070815212649079,16.977974917823566,61.72836409972395,72.24677
P/B,,,,,5.882097423493675,10.869093630598469,35.35345537199288,43.831924
EV/Revenue,,,37.81891553457076,22.488534313295,5.8504760606288215,14.532292827120234,59.903211692139536,72.875
EV/EBITDA,,,,,,210.89568176269532,501.9242446454799,226.468
Dividend Yield (%),,,,,,,,
SBC/Revenue (%),41.7365206102024,32.58613840052252,116.29298060810507,50.4715319974395,29.634639490290795,21.388783521167525,24.136671102181918,
FCF Yield (%),,,-0.7317731129379149,0.8700471089107011,1.3632321121184299,1.8452598150063595,0.6451895414413358,
Adjusted FCF Yield (%),,,-3.742566776264495,-1.2377770600833382,-2.827888515284896,0.585463895605308,0.2541752734593036,
Shareholder Yield (%),,,,,,,,
Forward P/E,,,,,,,,74.88728
PEG Ratio,,,,,,,,
Beta,,,,,,,,1.687
52-Week High ($),,,,,,,,207.52
52-Week Low ($),,,,,,,,66.12
Forward EPS ($),,,,,,,,1.81152
Trailing EPS ($),,,,,,,,0.63
Revenue Growth (%),,,,,,,,70.0
Earnings Growth (%),,,,,,,,681.2
Analyst Target Mean ($),,,,,,,,189.92043
Analyst Target High ($),,,,,,,,260.0
Analyst Target Low ($),,,,,,,,70.0
Analyst Recommendation,,,,,,,,buy
Number of Analysts,,,,,,,,24.0
Short Ratio,,,,,,,,1.17
Debt/Equity,,,,,,,,3.063
