,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
Revenue (M),3087.1379000000006,3341.8267767500006,3559.0455172387506,3728.1001793075916,3839.943184686819,3955.1414802274235,4068.8517977839624,4180.745222223021,4290.489784306376,4397.752028914036
Free Cash Flow (M),-17.808868486780007,-19.278100136939358,-20.531176645840418,-21.506407536517838,-22.151599762613372,-22.816147755491773,-23.47211200346216,-24.117595083557376,-24.750681954500756,-25.36944900336328
Growth Rate (%),10.0,8.25,6.5,4.75,3.0,3.0,2.875,2.75,2.6250000000000004,2.5
Discount Factor,1.07,1.14,1.23,1.31,1.4,1.5,1.61,1.72,1.84,1.97
PV of Future Cash Flow (M),-16.643802324093464,-16.83823926713194,-16.759555906070574,-16.407135337952266,-15.793784484197039,-15.203362634320516,-14.61725169164227,-14.036659918843396,-13.462731067021526,-12.896541442707539
Revenue Tag,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax
CFO Tag,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities
CapEx Tag,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment
Base Start,2024-02-01,2024-02-01,2024-02-01,2024-02-01,2024-02-01,2024-02-01,2024-02-01,2024-02-01,2024-02-01,2024-02-01
Base End,2025-01-31,2025-01-31,2025-01-31,2025-01-31,2025-01-31,2025-01-31,2025-01-31,2025-01-31,2025-01-31,2025-01-31
