,2018,2019,2020,2021,2022,2023,2024,Current
Year-End Price ($),,,281.4,338.75,143.54,199.0,154.41,174.15
Market Cap (B),,,39.84989733566284,47.971470145,43.10121698758543,63.42727,50.64663561117554,59.594129408
Enterprise Value (B),,,39.84989733566284,47.844264145,42.28103998758544,62.341541,49.70673361117554,56.96925696
Trailing P/E,,,,,,,,
P/S,,,150.520107179895,81.02618219944632,35.34836593267059,30.705585965544167,18.046261934814474,13.585117
P/B,,,,,8.731180024674597,11.624303849619055,9.776761461128476,27.931032
EV/Revenue,,,150.520107179895,80.81132498323619,34.675718644453404,30.179976946824233,17.711358787144913,12.987
EV/EBITDA,,,,,,,,-46.173
Dividend Yield (%),,,,,,,,
SBC/Revenue (%),23.181884012993194,29.612688292262828,29.612688292262828,50.914873599989185,49.62532610202185,41.707416374145005,41.61837085411702,
FCF Yield (%),,,-0.4896900946978415,-0.16771218342239114,0.21799384464495047,0.8206422884037102,1.605310975129408,
Adjusted FCF Yield (%),,,-0.6864258587567327,-0.7960877555882127,-1.1858992291266957,-0.5376583289805789,-0.7008935454770294,
Shareholder Yield (%),,,,,,,,
Forward P/E,,,,,,,,107.22531
PEG Ratio,,,,,,,,
Beta,,,,,,,,1.147
52-Week High ($),,,,,,,,280.67
52-Week Low ($),,,,,,,,120.1
Forward EPS ($),,,,,,,,1.62415
Trailing EPS ($),,,,,,,,-4.03
Revenue Growth (%),,,,,,,,28.7
Earnings Growth (%),,,,,,,,
Analyst Target Mean ($),,,,,,,,280.84106
Analyst Target High ($),,,,,,,,500.0
Analyst Target Low ($),,,,,,,,170.0
Analyst Recommendation,,,,,,,,buy
Number of Analysts,,,,,,,,47.0
Short Ratio,,,,,,,,3.05
Debt/Equity,,,,,,,,125.912
