,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Revenue (M),104309.70000000001,112915.25025000001,120254.74151625001,125966.84173827189,129745.84699042006,133638.22240013265,137480.32129413646,141261.03012972526,144969.13217063056,148593.3604748963
Free Cash Flow (M),7021.843719491614,7601.1458263496725,8095.220305062401,8479.743269552866,8734.135567639452,8996.159634668636,9254.79922416536,9509.306202829908,9758.925490654194,10002.898627920547
Growth Rate (%),10.0,8.25,6.5,4.75,3.0,3.0,2.875,2.75,2.6250000000000004,2.5
Discount Factor,1.07,1.14,1.23,1.31,1.4,1.5,1.61,1.72,1.84,1.97
PV of Future Cash Flow (M),6562.4707658800135,6639.135143986088,6608.111147986153,6469.155539734107,6227.317949463672,5994.521016773442,5763.423828042691,5534.502788143799,5308.208865731377,5084.966436798748
Revenue Tag,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax
CFO Tag,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities
CapEx Tag,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment
Base Start,2025-01-01,2025-01-01,2025-01-01,2025-01-01,2025-01-01,2025-01-01,2025-01-01,2025-01-01,2025-01-01,2025-01-01
Base End,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31
