,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Current
Year-End Price ($),,26.63,28.56,33.87,150.43,222.41,240.01,213.69,311.35,332.8,418.33,705.67,1056.78,123.18,248.48,403.84,449.72,419.96
Market Cap (B),,,2.7105831096530557,3.868437283924384,18.516579071928977,27.954180893421675,31.543316034793854,34.52397079258919,52.55494472657204,57.442277939100265,75.71772860527038,677.44318359375,1091.653770263672,389.74152096557617,791.4087863922119,1298.7494282226562,,1575.871315968
Enterprise Value (B),,,2.7559891096530555,4.221215283924384,18.261313071928978,27.752290893421677,32.73780203479385,32.625264460589186,60.986870726572036,64.68153693910027,83.83272860527039,681.39518359375,1077.480770263672,374.21052096557617,779.8127863922119,1290.2294282226562,,1514.050289664
Trailing P/E,,,,,,,,,,,,1102.6093482971191,215.66939373405611,34.027624393694964,57.786045518032346,197.96078251857384,416.40740853768807,392.48596
P/S,,,13.271428548746368,9.360873850408424,9.196233353296444,8.740171792452646,7.796124847175649,4.931902825916596,4.469432572096478,2.676555641497989,3.080711555263666,21.481582432577056,20.282291404486408,4.78433528474106,8.177991654616596,13.294599531401948,,16.618382
P/B,,,,18.68377035240323,82.64669629730179,224.17145864812892,47.282821733412064,7.2637528438022905,12.403102000445582,11.667569108228106,11.441179904090419,30.48113312007874,36.16064693311046,8.718269527683791,12.635450177095697,17.81231643496573,,19.178883
EV/Revenue,,,13.493743253851097,10.214528727772578,9.06945584790284,8.677048737983412,8.09134941944102,4.660664178988223,5.186509241208699,3.0138730357917467,3.4108848810021315,21.606899530496893,20.018965317125986,4.593681973994944,8.05816484341926,13.207384872787964,,15.966
EV/EBITDA,,,,,807.4153544647379,,,,,89.59567510163807,64.43714727538077,191.18832311833614,127.76956839365253,23.27758901253895,63.809245265707546,115.240213310348,,144.154
Dividend Yield (%),,,,,,,,,,,,,,,,,,
SBC/Revenue (%),1.2810090849807492,18.12170218597958,14.403991343602197,12.134125094372497,4.009791924096199,4.893013785832472,4.893667241304738,4.7745528227182,3.9694692063808477,3.4901199686803217,3.6536740174139473,5.498477929984779,3.940694498634413,1.9150033144288134,1.8724230932181496,2.046268809499437,2.9791093254031025,
FCF Yield (%),,,-11.520030464587677,-13.062354716201655,-0.03364552369959439,-3.6746632066108265,-6.845662636160796,-4.068567339599053,-6.613018086274927,-0.005086845621090925,1.4237088458104712,0.41125220054922157,0.45939474003636754,1.941286620233687,0.5506635856125347,0.27595777307903946,,
Adjusted FCF Yield (%),,,-12.605368888457866,-14.358614583419401,-0.4696709886970507,-4.234493596907927,-7.4733677251932775,-5.036662817398912,-7.501155258577963,-1.3090462756320453,0.2377250391891325,0.15528977565605925,0.2651023684277662,1.5410213377112771,0.32170479324679063,0.12204047721268904,,
Shareholder Yield (%),,,,,,,,,,,,,,,,,,
Forward P/E,,,,,,,,,,,,,,,,,,146.83247
PEG Ratio,,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,,1.887
52-Week High ($),,,,,,,,,,,,,,,,,,498.83
52-Week Low ($),,,,,,,,,,,,,,,,,,214.25
Forward EPS ($),,,,,,,,,,,,,,,,,,2.86013
Trailing EPS ($),,,,,,,,,,,,,,,,,,1.07
Revenue Growth (%),,,,,,,,,,,,,,,,,,-3.1
Earnings Growth (%),,,,,,,,,,,,,,,,,,-60.6
Analyst Target Mean ($),,,,,,,,,,,,,,,,,,418.81384
Analyst Target High ($),,,,,,,,,,,,,,,,,,600.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,,125.0
Analyst Recommendation,,,,,,,,,,,,,,,,,,buy
Number of Analysts,,,,,,,,,,,,,,,,,,39.0
Short Ratio,,,,,,,,,,,,,,,,,,0.89
Debt/Equity,,,,,,,,,,,,,,,,,,17.763
