,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Current
Year-End Price ($),30.19,29.48,26.99,30.99,27.56,34.18,45.4,54.82,54.36,55.11,60.67,46.08,53.8,30.18,47.98,41.29,49.22,70.24,89.215
Market Cap (B),102.1267338066101,99.97552244758606,123.14727195568085,163.103467795372,146.71290115699767,182.9142716331482,243.8524881958008,291.88360637512204,283.2047311798096,281.51841611785886,304.39958181304934,222.953480859375,238.08651662368774,124.77015726165772,196.53567412490844,158.4297335128784,183.1180925415039,243.56421659240723,280.053415936
Enterprise Value (B),102.1267338066101,99.97552244758606,435.0822719556808,359.052467795372,327.4679011569977,359.3842716331482,454.0254881958008,529.7096063751221,546.2587311798096,634.1234161178589,657.0045818130493,555.253480859375,570.7895166236877,396.7191572616577,391.63367412490845,384.44473351287843,480.2650925415039,525.4482165924072,132.419600384
Trailing P/E,12.684874173973789,42.114285060337615,15.422857012067523,14.0226243308227,9.773049456007938,10.172619138445173,11.670951549069127,13.370731632883958,13.194174905425136,13.812030228158285,14.797560529011053,10.766355568003432,13.28395042890384,73.60975684189215,9.692929200451783,13.149681820231638,10.190476443209757,13.080074090087436,14.251596
P/S,2.903224658345229,2.864792321840394,2.1883511382819925,3.08931486846299,2.9691755273414895,3.779923366600157,5.17854463241523,6.138198317108052,5.747199122913521,3.1893959930422344,3.4438627183591772,2.5802411913176444,2.7989433316916608,2.610363556250423,4.951269061442749,2.9325805847933957,2.151343928916374,2.6831049339855606,3.4988744
P/B,,,1.1016341219444372,1.2902938721866655,1.0461484241911971,1.1609624105585907,1.4332292332040342,1.5829344033706199,1.4673972330273348,1.4105471769249522,1.5251931887957737,1.1365551668452993,1.2721966626253713,0.6748454854135646,1.0475980199189177,0.8807082896279285,0.9859105313565236,1.3597823615029434,1.6771628
EV/Revenue,2.903224658345229,2.864792321840394,7.731497173751303,6.800751340923025,6.627295012486798,7.426675861898869,9.641858782216671,11.139586271347621,11.085470527422723,7.184150544573384,7.433103460985522,6.42594992199073,6.7101973434241415,8.299911236069661,9.866319194964188,7.116184168385873,5.642344657316947,5.788340841759556,1.654
EV/EBITDA,,116.11558937001865,334.6786707351391,239.36831186358134,233.90564368356976,276.4494397178063,378.3545734965007,441.4246719792684,455.215609316508,528.4361800982157,547.5038181775411,427.1180621995192,407.70679758834837,283.3708266154698,279.7383386606489,320.370611260732,369.4346865703876,375.32015470886233,
Dividend Yield (%),3.908578930526454,4.409769403617105,1.8154872328837366,0.6453694787903631,1.74165460559303,2.574605009195228,2.533039562442475,2.4626049024357424,2.7133921696813257,2.749047329379689,2.5383221468239108,3.5590276363547257,3.5687732848096267,4.042412152629347,1.2505210623685517,2.664083254079897,2.6412026976000735,2.1355353724657706,196.0
SBC/Revenue (%),,0.5071923892486676,0.4353697977751715,0.825820137889234,1.0705901400469522,1.1572399826414002,1.5396377073201808,1.8043405114401077,1.7127666051098889,0.8825495371996329,0.9605267623799341,1.182760855476345,1.4307043015176986,1.3013096782292146,2.531868796291631,1.8103065304309198,1.3181700697854741,1.4111504015334282,
FCF Yield (%),,,,,,,,,,,,,,,,,,,
Adjusted FCF Yield (%),,,,,,,,,,,,,,,,,,,
Shareholder Yield (%),11.136163447208853,5.936453098418695,1.904224074767922,0.6964904029049918,3.3759812265587934,4.6376917034737755,4.637639781194058,5.5919550271087655,5.6838739709400725,5.537115551784725,5.7122286096565835,12.704443945356307,13.747523574270112,6.625783105060233,8.591824397879078,6.445128558630044,9.087032181830164,10.092204981462896,
Forward P/E,,,,,,,,,,,,,,,,,,,11.333004
PEG Ratio,,,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,,,1.062
52-Week High ($),,,,,,,,,,,,,,,,,,,97.76
52-Week Low ($),,,,,,,,,,,,,,,,,,,58.42
Forward EPS ($),,,,,,,,,,,,,,,,,,,7.87214
Trailing EPS ($),,,,,,,,,,,,,,,,,,,6.26
Revenue Growth (%),,,,,,,,,,,,,,,,,,,5.0
Earnings Growth (%),,,,,,,,,,,,,,,,,,,13.0
Analyst Target Mean ($),,,,,,,,,,,,,,,,,,,101.27083
Analyst Target High ($),,,,,,,,,,,,,,,,,,,113.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,,,85.0
Analyst Recommendation,,,,,,,,,,,,,,,,,,,buy
Number of Analysts,,,,,,,,,,,,,,,,,,,24.0
Short Ratio,,,,,,,,,,,,,,,,,,,1.93
Debt/Equity,,,,,,,,,,,,,,,,,,,
