,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Revenue (M),,,301500.0,370125.0,467029.0,453123.0,420836.0,394105.0,259488.0,218608.0,237162.0,279332.0,255583.0,178574.0,276692.0,413680.0,344582.0,349585.0
Gross Margin (%),,,,,,,,,,,,,,,,,,
Operating Income (M),,,,,,,,,,,,,,,,,,
Operating Margin (%),,,,,,,,,,,,,,,,,,
Net Income (M),40610.0,45220.0,19280.0,30460.0,41060.0,44880.0,32580.0,32520.0,16150.0,7840.0,19710.0,20840.0,14340.0,-22440.0,23040.0,55740.0,36010.0,33680.0
Net Profit Margin (%),,,6.39469320066335,8.229652144545762,8.791745266353908,9.904595440972981,7.7417331216911105,8.251608073990434,6.223794549266247,3.586328039230037,8.310774913350368,7.460656136783469,5.610701807240701,-12.566219046445731,8.326948375811371,13.474182943337846,10.450342734095223,9.634280647052934
D&A (M),12250.0,12379.0,11917.0,14760.0,15583.0,15888.0,17182.0,17297.0,18048.0,22308.0,19893.0,18745.0,18998.0,46009.0,20607.0,24040.0,20641.0,23442.0
EBITDA (M),12250.0,12379.0,11917.0,14760.0,15583.0,15888.0,17182.0,17297.0,18048.0,22308.0,19893.0,18745.0,18998.0,46009.0,20607.0,24040.0,20641.0,23442.0
R&D Expense (M),,847.0,1050.0,1012.0,1044.0,1042.0,1044.0,971.0,1008.0,1058.0,1063.0,1116.0,1214.0,1016.0,843.0,824.0,879.0,987.0
SBC (M),,,,,,,,,,,,,,,,,,
Interest Expense (M),400.0,673.0,548.0,259.0,247.0,327.0,9.0,286.0,311.0,453.0,601.0,766.0,830.0,1158.0,947.0,798.0,849.0,996.0
Income Tax (M),29864.0,36530.0,15119.0,21561.0,31051.0,31045.0,24263.0,18015.0,5415.0,-406.0,-1174.0,9532.0,5282.0,-5632.0,7636.0,20176.0,15429.0,13810.0
Effective Tax Rate (%),,,43.474135204301696,40.71262674899451,42.38639310919093,39.4342402764017,42.04224497929337,34.892504357931436,24.65173449877083,-5.094742125737231,-6.286815893756025,30.795076406164185,26.336258476266455,19.49935948481806,24.447717231222384,25.9488379869587,29.231002406077717,28.25691076872711
EPS Diluted ($),7.26,8.66,3.98,6.22,8.42,9.7,7.37,7.6,3.85,1.88,4.63,4.88,3.36,-5.25,5.39,13.26,8.89,7.84
Dividends Per Share ($),,1.55,1.66,1.74,1.85,2.18,2.46,2.7,2.88,2.98,3.06,3.23,3.43,3.48,3.49,3.55,3.68,3.84
Cash from Operations (M),52002.0,59725.0,28438.0,48413.0,55345.0,56170.0,44914.0,45116.0,30344.0,22082.0,30066.0,36014.0,29716.0,14668.0,48129.0,76797.0,55369.0,55022.0
CapEx (M),15387.0,19318.0,22491.0,26871.0,30975.0,34271.0,33669.0,32952.0,26490.0,16163.0,15402.0,19574.0,24361.0,17282.0,12076.0,18407.0,21919.0,24306.0
Free Cash Flow (M),36615.0,40407.0,5947.0,21542.0,24370.0,21899.0,11245.0,12164.0,3854.0,5919.0,14664.0,16440.0,5355.0,-2614.0,36053.0,58390.0,33450.0,30716.0
FCF to Profit Margin (%),90.16252154641714,89.3564794338788,30.845435684647306,70.72225869993434,59.35216755966878,48.7945632798574,34.515039901780234,37.40467404674047,23.86377708978328,,74.39878234398782,78.88675623800384,37.34309623430963,11.648841354723707,150.0,104.75421600287046,92.89086364898638,91.19952494061758
Buyback (M),31822.0,35734.0,19703.0,13093.0,22055.0,21068.0,15998.0,13183.0,4039.0,977.0,747.0,626.0,594.0,405.0,155.0,15155.0,17748.0,19629.0
Dividends Paid (M),7621.0,8058.0,8023.0,8948.0,9020.0,10092.0,10875.0,11568.0,12090.0,12453.0,13001.0,13798.0,14652.0,14865.0,14924.0,14939.0,14941.0,16704.0
Cash (B),,,33.981,33.981,10.693,7.825,12.664,9.582,4.644,4.616,3.705,3.177,3.089,4.364,6.802,29.64,31.539,23.029
Total Cash (B),,,34.15,34.15,10.693,7.825,12.664,9.582,4.644,4.616,3.705,3.177,3.089,4.364,6.802,29.64,31.539,23.029
Total Debt (B),,,9.605,7.33,11.603,9.891,20.551,27.525,36.673,38.427,36.149,33.401,44.903,64.488,45.036,40.633,37.558,41.71
Total Assets (B),,,233.323,233.323,302.51,331.052,333.795,346.808,349.493,336.758,330.314,348.691,346.196,362.597,332.75,338.923,369.067,453.475
Accounts Receivable (B),,,27.645,22.186,30.044,28.373,25.993,18.541,13.243,16.033,21.274,19.638,21.1,16.339,26.883,32.844,30.296,43.681
Stockholders Equity (B),,,110.569,110.569,154.396,165.863,174.003,174.399,170.811,167.325,187.688,191.794,191.65,157.15,168.577,195.049,204.802,263.705
Shares Outstanding (M),,,,,4875.0,4628.0,4419.0,4282.0,4196.0,4177.0,4256.0,4270.0,4270.0,4271.0,4275.0,4205.0,4052.0,4298.0
ROE (%),,,17.437075491322158,27.54840868597889,26.593953211223088,27.0584759711328,18.723815106636092,18.64689591110041,9.454894591097764,4.685492305393695,10.501470525553046,10.865824791182206,7.482389773023741,-14.2793509385937,13.667344892838287,28.57743438828192,17.58283610511616,12.771847329402172
ROA (%),,,8.26322308559379,13.05486385825658,13.573105021321611,13.55678262025301,9.760481732800072,9.376946321884155,4.620979533209535,2.3280812927977954,5.967049534685178,5.976638341683611,4.142162243353476,-6.188688819819248,6.92411720510894,16.446213446712086,9.757035985335996,7.427090798831247
ROIC (%),,,,,,,,,,,,,,,,,,
Revenue Tag,,,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,Revenues,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,Revenues,Revenues
Net Income Tag,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss
CFO Tag,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities
CapEx Tag,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment
Gross Profit Tag,,,,,,,,,,,,,,,,,,
Operating Income Tag,,,,,,,,,,,,,,,,,,
D&A Tag,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization
R&D Tag,,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense
SBC Tag,,,,,,,,,,,,,,,,,,
