,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Current
Year-End Price ($),93.69,79.83,68.19,73.12,84.76,86.55,101.2,92.45,77.95,90.26,83.64,68.19,69.78,41.22,61.19,110.3,99.98,107.57,155.31
Market Cap (B),,,,,,,,,337.9132367706299,379.1822689743042,347.6078374633789,282.8521301269531,295.79741482543943,174.64914517211915,259.07845418548584,466.8999129180908,423.8152342300415,427.160468788147,654.967963648
Enterprise Value (B),,,,,,,,,369.9422367706299,412.9932689743042,380.0518374633789,313.0761301269531,337.61141482543945,234.77314517211914,297.3124541854858,477.8929129180908,429.8342342300415,445.841468788147,673.590607872
Trailing P/E,12.904959013967803,9.218245015133336,17.133166442564384,11.755627451218977,10.066508567248274,8.922680726985343,13.731342869503688,12.164473282663446,20.24675245408888,48.01063943416514,18.064794684589295,13.973361156025872,20.76785677955264,,11.35250438343395,8.318250607221554,11.246344584581955,13.72066322638064,23.180597
P/S,,,,,,,,,1.3022306880111214,1.734530616328333,1.4656978667045264,1.0126019579817318,1.1573438563028036,0.978021129459603,0.9363424102810556,1.1286499538727781,1.2299401426367063,1.2219073152113133,2.022099
P/B,,,,,,,,,1.9782873279275333,2.2661423515571744,1.8520514761912263,1.4747704835758841,1.5434250708345392,1.1113531350437107,1.5368552897814403,2.3937570196109226,2.069390114501038,1.6198421296075045,2.5022151
EV/Revenue,,,,,,,,,1.4256622147098512,1.8891955874181374,1.602498871924587,1.120802951781225,1.3209462868243955,1.3147106811300588,1.074524938145974,1.155223634012016,1.2474076830189664,1.2753449627076303,2.08
EV/EBITDA,,,,,,,,,20.497685991280466,18.51323601283415,19.10480256690187,16.7018474327529,17.770892453176096,5.102765658286838,14.427740776701404,19.879072916725907,20.82429311709905,19.018917702762007,11.438
Dividend Yield (%),,1.9416259106197769,2.434374454563763,2.379649801204822,2.1826332625931135,2.518775185595704,2.4308301128290988,2.920497662657129,3.6946762190539704,3.3015731547427305,3.6585366120635285,4.736764751952382,4.915448638582739,8.442503388991017,5.703546459104905,3.2184949245506163,3.680736023644865,3.5697685329497713,272.0
SBC/Revenue (%),,,,,,,,,,,,,,,,,,,
FCF Yield (%),,,,,,,,,1.1405294556768233,1.5609907119367727,4.218547000265746,5.81222421504169,1.8103606494195277,-1.4967150268178335,13.915861939715004,12.505892244671177,7.892590284247254,7.19074030589516,
Adjusted FCF Yield (%),,,,,,,,,,,,,,,,,,,
Shareholder Yield (%),,,,,,,,,4.773118731347037,3.541832279322666,3.955031653004192,5.099484311299351,5.154203260700303,8.743243481066685,5.820244700550926,6.445492742098552,7.713030905882167,8.505702810720434,
Forward P/E,,,,,,,,,,,,,,,,,,,18.587755
PEG Ratio,,,,,,,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,,,,,,,0.358
52-Week High ($),,,,,,,,,,,,,,,,,,,156.93
52-Week Low ($),,,,,,,,,,,,,,,,,,,97.8
Forward EPS ($),,,,,,,,,,,,,,,,,,,8.3555
Trailing EPS ($),,,,,,,,,,,,,,,,,,,6.7
Revenue Growth (%),,,,,,,,,,,,,,,,,,,-1.3
Earnings Growth (%),,,,,,,,,,,,,,,,,,,-11.0
Analyst Target Mean ($),,,,,,,,,,,,,,,,,,,140.91667
Analyst Target High ($),,,,,,,,,,,,,,,,,,,171.0
Analyst Target Low ($),,,,,,,,,,,,,,,,,,,118.0
Analyst Recommendation,,,,,,,,,,,,,,,,,,,buy
Number of Analysts,,,,,,,,,,,,,,,,,,,24.0
Short Ratio,,,,,,,,,,,,,,,,,,,2.65
Debt/Equity,,,,,,,,,,,,,,,,,,,16.329
