,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Current
Year-End Price ($),81.73,105.89,26.04,36.45,40.74,31.43,45.74,135.94,62.22,31.21,56.72,70.85,54.3
Market Cap (B),,,,,,,9.439821546401978,30.429897666503905,15.551080445098878,7.557907008293152,13.248374285125733,16.584355092826844,13.623851008
Enterprise Value (B),,,,,,,9.841960546401978,30.340290666503908,12.939581445098877,6.091907008293152,11.756374285125732,15.502355092826843,12.160759808
Trailing P/E,,,,,,,,,,,,,
P/S,,,,,,,3.4416268799064538,9.111247013385436,1.9087225684808062,3.8600137938167274,6.811503488496521,7.416974549564777,5.4868507
P/B,,,,,,,3.5477074372861246,9.313814047685758,4.526688416091908,1.5938226504203188,2.4805044533094427,3.6642410722109684,2.6327271
EV/Revenue,,,,,,,3.588241133688213,9.084417100249476,1.5881900436531806,3.111290606891293,6.044408372815287,6.933074728455654,4.898
EV/EBITDA,,,,,,,,442.0012334324535,,95.1860470045805,,360.519885879694,1737.251
Dividend Yield (%),,,,,,,,,,,,,
SBC/Revenue (%),11.863626009263713,10.45895431936249,16.320420923966577,12.629268747881204,10.547142721820515,11.179449801057926,7.251688671255346,5.914994743723982,3.8255998004756373,23.03370786516854,23.187660668380463,20.03577817531306,
FCF Yield (%),,,,,,,-7.19524195093377,1.1148805155971373,-20.898863017741505,58.07163273091388,1.6530330083282487,1.718487082583451,
Adjusted FCF Yield (%),,,,,,,-9.302294494483306,0.4656834589226561,-22.903135332455378,52.104372224729744,-1.751158255397962,-0.9828540156529912,
Shareholder Yield (%),,,,,,,,,,,,,
Forward P/E,,,,,,,,,,,,,24.195812
PEG Ratio,,,,,,,,,,,,,
Beta,,,,,,,,,,,,,2.015
52-Week High ($),,,,,,,,,,,,,90.22
52-Week Low ($),,,,,,,,,,,,,53.37
Forward EPS ($),,,,,,,,,,,,,2.24419
Trailing EPS ($),,,,,,,,,,,,,-0.14
Revenue Growth (%),,,,,,,,,,,,,16.400000000000002
Earnings Growth (%),,,,,,,,,,,,,
Analyst Target Mean ($),,,,,,,,,,,,,86.04167
Analyst Target High ($),,,,,,,,,,,,,110.0
Analyst Target Low ($),,,,,,,,,,,,,68.0
Analyst Recommendation,,,,,,,,,,,,,buy
Number of Analysts,,,,,,,,,,,,,24.0
Short Ratio,,,,,,,,,,,,,1.6
Debt/Equity,,,,,,,,,,,,,7.352
