,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3
Data Source,10-Q,10-Q,10-K Derived,10-Q,10-Q,10-Q,10-K Derived,10-Q,10-Q,10-Q
Revenue (M),506.0,496.0,474.0,529.0,572.0,581.0,554.0,598.0,655.0,676.0
Gross Margin (%),79.44664031620553,77.82258064516128,75.73839662447257,76.74858223062382,77.27272727272727,75.90361445783132,75.81227436823104,76.75585284280938,74.65648854961832,72.63313609467455
Operating Income (M),-67.0,-53.0,-105.0,-45.0,-38.0,-45.0,-69.0,-9.0,-11.0,-3.0
Operating Margin (%),-13.24110671936759,-10.685483870967742,-22.151898734177212,-8.506616257088846,-6.643356643356643,-7.74526678141136,-12.454873646209386,-1.5050167224080269,-1.6793893129770994,-0.4437869822485207
Net Income (M),-35.0,-28.0,-73.0,-23.0,-17.0,-20.0,-52.0,8.0,2.0,10.0
Net Profit Margin (%),-6.91699604743083,-5.64516129032258,-15.400843881856542,-4.3478260869565215,-2.972027972027972,-3.4423407917383817,-9.386281588447654,1.3377926421404682,0.3053435114503817,1.4792899408284024
D&A (M),,,,56.0,,,,65.0,,
EBITDA (M),-67.0,-53.0,-105.0,11.0,-38.0,-45.0,-69.0,56.0,-11.0,-3.0
R&D Expense (M),140.0,142.0,141.0,147.0,144.0,145.0,149.0,149.0,153.0,151.0
SBC (M),130.0,109.0,109.0,108.0,113.0,108.0,119.0,97.0,99.0,99.0
Interest Expense (M),9.0,9.0,9.0,9.0,10.0,9.0,8.0,5.0,5.0,3.0
Income Tax (M),1.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0
Effective Tax Rate (%),-2.941176470588235,-0.0,-4.285714285714286,-9.523809523809524,-13.333333333333334,-0.0,-1.9607843137254901,0.0,0.0,16.666666666666664
EPS Diluted ($),-0.15,-0.12,-0.32000000000000006,-0.1,-0.07,-0.08,-0.22999999999999998,0.03,0.01,0.04
Dividends Per Share ($),,,,,,,,,,
Cash from Operations (M),,,,80.0,,,,104.0,,
CapEx (M),,,,39.0,,,,36.0,,
Free Cash Flow (M),,,,41.0,,,,68.0,,
FCF to Profit Margin (%),,,,-178.26086956521738,,,,850.0,,
Buyback (M),,,,9.0,,,,250.0,,
Dividends Paid (M),,,,,,,,,,
Cash (B),1.566,1.846,1.492,1.439,1.181,1.072,1.082,0.914,0.587,0.874
Total Cash (B),1.566,1.846,1.492,1.439,1.181,1.072,1.082,0.914,0.587,0.874
Total Debt (B),,,0.0,,,,0.0,,,
